applicant_id,application_date,gender,age,education,marital_status,dependents,residence_type,years_at_current_residence,city,employment_type,industry,annual_income,years_employed,years_with_current_employer,loan_purpose,loan_amount_requested,loan_tenure_months,interest_rate,credit_score,num_credit_accounts,num_active_accounts,credit_history_months,num_delinquent_accounts,max_dpd_last_12m,num_enquiries_6m,num_enquiries_12m,total_outstanding_debt,secured_loan_percentage,num_written_off_accounts,num_settled_accounts,avg_monthly_balance,balance_volatility,avg_monthly_spending,essential_spending_pct,discretionary_spending_pct,num_bounced_checks_12m,salary_credit_regularity,num_digital_txns_monthly,cash_withdrawal_pct,min_balance_breaches_12m,emi_bounce_count_12m,debt_to_income_ratio,loan_to_income_ratio,credit_utilization,estimated_monthly_emi,emi_to_income_ratio,savings_rate,account_age_factor,default,default_probability
APP000013,2025-11-11,Female,32,Master,Married,2,Rented,1,Bangalore,Business Owner,Banking/Finance,528000.0,7,1,Business Loan,1856000.0,36,12.47,742,0,0,105,1,30,4,4,902500.0,60.5,0,0,54300.0,0.405,36900.0,45.7,54.3,0,80.6,26,28.9,3,0,1.709,3.515,0.266,62063.0,1.411,1.234,8.8,1,0.18616666666666667
APP000014,2025-09-29,Male,40,PhD,Divorced,3,Rented,0,Mumbai,Self-Employed,IT/Software,1175000.0,0,0,Education Loan,2041000.0,60,8.6,663,1,1,25,1,90,2,3,312300.0,87.4,0,0,129200.0,0.05,73000.0,50.8,49.2,0,86.9,21,21.7,1,2,0.266,1.737,0.656,41973.0,0.429,1.319,2.1,0,0.27925
APP000015,2025-05-18,Male,31,Bachelor,Married,1,Mortgaged,0,Hyderabad,Salaried,IT/Software,405000.0,0,0,Home Loan,3035000.0,240,7.87,800,3,3,157,0,0,0,2,61200.0,76.3,0,0,108400.0,0.423,15500.0,34.7,65.3,0,82.1,35,25.5,0,0,0.151,7.494,0.314,25141.0,0.745,3.212,13.1,1,0.024999999999999998
APP000016,2025-02-14,Male,35,High School,Married,0,Rented,11,Ahmedabad,Salaried,Manufacturing,430000.0,1,1,Personal Loan,1256000.0,48,10.85,655,4,3,109,0,0,1,4,86400.0,93.4,0,0,24600.0,0.243,30200.0,46.0,54.0,1,92.8,30,8.2,1,0,0.201,2.921,0.237,32371.0,0.903,0.687,9.1,0,0.02
APP000017,2025-09-15,Male,32,Master,Married,1,Rented,5,Chennai,Freelancer,Banking/Finance,527000.0,4,0,Business Loan,2508000.0,120,15.77,654,5,1,13,1,30,4,6,125500.0,26.1,0,0,61200.0,0.302,22400.0,37.5,62.5,0,81.1,26,35.3,1,0,0.238,4.759,0.694,41654.0,0.948,1.394,1.1,0,0.16816666666666663
APP000018,2025-06-19,Male,30,Bachelor,Single,3,Rented,7,Chennai,Salaried,Government,287000.0,11,0,Auto Loan,729000.0,48,10.49,701,3,1,40,1,30,1,4,58800.0,8.4,0,0,71700.0,0.586,21000.0,57.0,43.0,0,86.5,33,35.8,0,0,0.205,2.54,0.131,18661.0,0.78,2.998,3.3,0,0.12071666666666667
APP000019,2025-10-03,Male,28,High School,Married,1,Rented,1,Ahmedabad,Business Owner,IT/Software,794000.0,24,1,Home Loan,2181000.0,360,9.09,736,1,1,121,2,90,4,4,402600.0,64.6,0,1,61200.0,0.05,54200.0,66.0,34.0,0,92.3,29,15.8,0,0,0.507,2.747,0.396,17690.0,0.267,0.925,10.1,0,0.1717052896725441
APP000020,2025-07-06,Male,39,Master,Married,3,Owned,4,Delhi,Salaried,IT/Software,297000.0,9,9,Home Loan,1425000.0,360,9.26,601,4,2,76,1,30,2,4,473600.0,46.8,0,0,64800.0,0.157,16700.0,67.4,32.6,0,82.2,35,19.7,0,0,1.595,4.798,0.513,11733.0,0.474,2.618,6.3,0,0.14141666666666666
APP000021,2025-06-10,Female,48,Bachelor,Single,2,Rented,6,Delhi,Business Owner,Other,190000.0,0,0,Personal Loan,413000.0,24,15.71,750,3,3,143,1,30,1,2,18300.0,68.0,0,0,45800.0,0.226,12000.0,34.9,65.1,1,78.7,30,15.4,0,2,0.096,2.174,0.346,20165.0,1.274,2.893,11.9,1,0.23416666666666666
APP000022,2025-02-21,Male,46,Bachelor,Married,3,Rented,1,Pune,Salaried,IT/Software,481000.0,13,0,Auto Loan,1195000.0,72,10.28,720,2,1,59,1,60,3,5,467500.0,12.5,1,0,60600.0,0.164,17400.0,66.8,33.2,3,73.4,19,12.3,2,1,0.972,2.484,0.216,22307.0,0.557,1.512,4.9,0,0.45552668052668055
APP000023,2025-08-15,Male,22,PhD,Single,4,Living with Parents,6,Pune,Business Owner,Government,100000.0,7,1,Personal Loan,241000.0,24,14.01,757,4,2,4,0,0,4,5,763100.0,89.1,0,1,6000.0,0.203,6500.0,34.4,65.6,0,78.1,26,28.5,0,1,7.631,2.41,0.563,11572.0,1.389,0.72,0.3,0,0.14575
APP000024,2025-09-05,Male,47,Bachelor,Single,0,Rented,4,Other,Salaried,Real Estate,170000.0,0,0,Home Loan,847000.0,180,9.31,766,4,0,43,1,60,3,5,283500.0,44.7,0,0,14900.0,0.275,12400.0,51.4,48.6,0,99.5,34,27.9,3,0,1.668,4.982,0.248,8748.0,0.618,1.052,3.6,1,0.2768333333333333
APP000025,2025-06-11,Male,31,Bachelor,Married,1,Rented,1,Bangalore,Salaried,Other,513000.0,2,1,Auto Loan,1925000.0,60,11.49,598,3,0,31,2,60,2,4,42800.0,18.6,0,0,38900.0,0.138,35900.0,51.5,48.5,0,71.6,26,35.9,1,0,0.083,3.752,0.69,42326.0,0.99,0.91,2.6,0,0.1288333333333333
APP000026,2025-07-30,Female,41,Bachelor,Married,1,Rented,0,Delhi,Salaried,Manufacturing,172000.0,9,2,Business Loan,1355000.0,60,11.18,716,5,2,1,0,0,1,3,550200.0,74.4,0,0,28500.0,0.841,9200.0,49.8,50.2,0,76.6,26,11.3,0,0,3.199,7.878,0.309,29583.0,2.064,1.988,0.1,0,0.06305
APP000027,2025-07-29,Male,25,Bachelor,Single,2,Living with Parents,1,Chennai,Salaried,Retail,309000.0,12,8,Auto Loan,915000.0,36,10.33,674,1,1,10,1,30,3,5,338900.0,1.2,0,0,80400.0,0.178,22800.0,35.4,64.6,3,91.4,28,18.6,1,1,1.097,2.961,0.839,29666.0,1.152,3.122,0.8,0,0.26284304207119735
APP000028,2025-11-07,Male,36,Master,Married,1,Rented,4,Bangalore,Self-Employed,Healthcare,678000.0,8,0,Home Loan,4899000.0,240,8.53,828,4,3,78,0,0,2,4,1139200.0,3.1,0,1,187400.0,0.225,26800.0,69.2,30.8,0,99.3,24,30.4,2,0,1.68,7.226,0.715,42608.0,0.754,3.317,6.5,0,0.198
APP000029,2025-09-10,Male,38,Bachelor,Single,1,Rented,4,Other,Salaried,Other,476000.0,3,3,Home Loan,2947000.0,120,9.15,668,4,2,45,1,30,2,3,56500.0,87.4,0,0,113300.0,0.083,21800.0,60.3,39.7,0,83.4,30,9.6,0,0,0.119,6.191,0.812,37571.0,0.947,2.856,3.8,0,0.024666666666666656
APP000030,2025-09-26,Male,21,High School,Married,4,Living with Parents,3,Other,Salaried,Education,477000.0,33,0,Auto Loan,1151000.0,48,9.3,614,7,2,26,0,0,0,1,129400.0,93.3,1,0,55500.0,0.272,24700.0,34.3,65.7,1,94.9,37,37.5,2,0,0.271,2.413,0.493,28807.0,0.725,1.396,2.2,1,0.2215
APP000031,2025-04-19,Female,41,High School,Married,0,Living with Parents,1,Chennai,Salaried,Education,502000.0,0,0,Consumer Durable,76000.0,12,16.12,735,0,0,156,0,0,6,10,752800.0,71.4,0,0,138300.0,0.29,21300.0,60.0,40.0,0,81.8,30,19.4,1,1,1.5,0.151,0.168,6900.0,0.165,3.306,13.0,1,0.27125
APP000032,2025-12-19,Male,48,Bachelor,Divorced,4,Owned,2,Bangalore,Self-Employed,Healthcare,281000.0,0,0,Home Loan,828000.0,360,8.22,857,2,2,11,0,0,1,2,129800.0,90.9,0,0,81700.0,0.113,12700.0,51.8,48.2,0,77.1,25,27.6,1,0,0.462,2.947,0.441,6203.0,0.265,3.489,0.9,0,0.04694217081850534
APP000033,2025-03-30,Male,33,Bachelor,Married,1,Rented,0,Chennai,Freelancer,Banking/Finance,452000.0,3,3,Auto Loan,1615000.0,36,9.82,762,4,4,13,0,0,4,8,211200.0,74.4,0,0,87600.0,0.188,31200.0,62.4,37.6,0,72.9,22,14.8,1,0,0.467,3.573,0.795,51975.0,1.38,2.326,1.1,0,0.02
APP000034,2025-04-03,Female,48,Bachelor,Single,1,Living with Parents,5,Kolkata,Salaried,Manufacturing,329000.0,7,2,Personal Loan,828000.0,36,13.36,756,3,2,28,0,0,2,4,529700.0,1.5,0,1,51500.0,0.067,16200.0,65.2,34.8,0,95.6,31,27.5,1,0,1.61,2.517,0.769,28042.0,1.023,1.878,2.3,0,0.096
APP000035,2025-06-16,Female,33,Bachelor,Single,0,Rented,10,Hyderabad,Salaried,IT/Software,100000.0,0,0,Business Loan,342000.0,84,14.88,741,5,0,64,0,0,2,3,114500.0,81.5,0,0,17800.0,0.05,7400.0,46.2,53.8,0,84.0,40,13.6,0,0,1.145,3.42,0.454,6576.0,0.789,2.136,5.3,0,0.12425
APP000036,2025-04-09,Female,43,High School,Single,1,Rented,3,Delhi,Salaried,Healthcare,646000.0,3,0,Home Loan,3943000.0,300,8.75,604,2,1,33,0,0,3,4,467300.0,83.4,0,1,50800.0,0.109,28900.0,66.7,33.3,2,73.2,25,30.8,0,0,0.723,6.104,0.378,32417.0,0.602,0.944,2.8,0,0.2163374613003096
APP000037,2025-09-26,Male,21,Bachelor,Divorced,3,Owned,1,Kolkata,Freelancer,Manufacturing,261000.0,1,1,Personal Loan,287000.0,12,14.45,756,2,0,155,2,60,1,3,555000.0,35.7,0,1,49200.0,0.468,9400.0,55.3,44.7,0,92.4,32,35.6,1,1,2.126,1.1,0.519,25830.0,1.188,2.262,12.9,0,0.2793333333333333
APP000038,2025-04-11,Male,59,PhD,Married,0,Rented,8,Other,Self-Employed,Education,600000.0,4,1,Personal Loan,436000.0,60,17.12,568,1,1,21,5,90,1,2,71500.0,20.2,0,0,64700.0,0.686,20800.0,30.5,69.5,0,88.1,31,10.2,0,0,0.119,0.727,0.327,10864.0,0.217,1.294,1.8,1,0.2923
APP000039,2025-07-31,Female,49,High School,Single,2,Rented,1,Kolkata,Salaried,Manufacturing,279000.0,2,0,Home Loan,1374000.0,120,9.33,666,2,0,12,1,60,3,3,322400.0,79.9,0,0,69300.0,0.577,14500.0,50.4,49.6,0,94.5,36,39.6,0,0,1.156,4.925,0.787,17652.0,0.759,2.981,1.0,1,0.23123888888888885
APP000040,2025-01-17,Male,32,Bachelor,Single,0,Owned,4,Delhi,Salaried,Healthcare,479000.0,6,0,Education Loan,1490000.0,60,10.28,614,3,3,63,0,0,0,1,433000.0,3.0,0,0,50500.0,0.168,19000.0,41.3,58.7,0,84.6,26,16.4,0,0,0.904,3.111,0.626,31864.0,0.798,1.265,5.2,0,0.13189665970772443
APP000041,2025-02-22,Male,21,Bachelor,Married,1,Owned,0,Ahmedabad,Salaried,IT/Software,337000.0,0,0,Home Loan,2017000.0,240,8.47,628,3,0,232,1,120,1,3,143600.0,71.2,0,0,47400.0,0.627,12300.0,63.1,36.9,1,77.5,29,5.9,2,0,0.426,5.985,0.592,17466.0,0.622,1.688,19.3,1,0.2736279426310584
APP000042,2025-01-06,Male,37,Master,Single,4,Owned,6,Other,Self-Employed,Education,371000.0,8,1,Personal Loan,826000.0,24,14.27,698,2,2,19,0,0,0,1,33300.0,62.3,0,0,25200.0,0.05,17600.0,37.4,62.6,2,80.5,23,30.0,1,0,0.09,2.226,0.182,39764.0,1.286,0.815,1.6,0,0.03049999999999997
APP000043,2025-10-05,Male,21,High School,Married,2,Owned,3,Pune,Salaried,Education,778000.0,4,4,Credit Card,323000.0,12,35.97,885,5,1,267,1,60,1,3,204300.0,28.7,2,2,199400.0,0.09,50400.0,48.8,51.2,1,83.9,39,27.5,1,0,0.263,0.415,0.753,32444.0,0.5,3.076,22.2,0,0.27708333333333335
APP000044,2025-08-06,Female,39,PhD,Married,1,Owned,2,Delhi,Salaried,Government,100000.0,8,2,Business Loan,834000.0,120,13.03,802,2,2,28,0,0,2,3,366100.0,3.4,0,0,5200.0,0.353,7100.0,40.1,59.9,4,78.9,31,18.2,0,0,3.661,8.34,0.619,12467.0,1.496,0.624,2.3,0,0.1445
APP000045,2025-01-12,Male,39,Bachelor,Married,1,Mortgaged,13,Mumbai,Business Owner,IT/Software,535000.0,4,2,Education Loan,1235000.0,60,8.87,653,3,3,104,4,180,4,6,942700.0,25.0,0,1,45800.0,0.058,21300.0,31.4,68.6,3,89.9,30,9.6,1,3,1.762,2.308,0.548,25559.0,0.573,1.027,8.7,1,0.6817500000000001
APP000046,2025-06-20,Female,25,Master,Married,2,Owned,3,Bangalore,Self-Employed,Manufacturing,657000.0,2,2,Personal Loan,1840000.0,60,15.02,701,3,2,53,1,30,2,4,285400.0,45.2,0,0,116500.0,0.679,22800.0,36.6,63.4,0,80.9,24,22.1,0,1,0.434,2.801,0.113,43793.0,0.8,2.128,4.4,0,0.08880654490106546
APP000047,2025-05-09,Male,46,High School,Single,0,Mortgaged,0,Chennai,Salaried,Healthcare,220000.0,1,1,Education Loan,1013000.0,120,10.74,814,1,1,0,0,0,0,0,1087900.0,10.5,0,0,22200.0,0.161,13500.0,61.4,38.6,0,89.8,31,13.2,0,0,4.945,4.605,0.458,13805.0,0.753,1.211,0.0,0,0.021500000000000005
APP000048,2025-07-25,Male,43,Master,Married,1,Owned,16,Other,Freelancer,Education,198000.0,13,2,Home Loan,747000.0,300,8.24,708,2,2,226,0,0,2,5,1396200.0,68.4,0,0,27400.0,0.217,8300.0,56.8,43.2,0,82.5,39,37.6,1,0,7.052,3.773,0.795,5885.0,0.357,1.661,18.8,0,0.068
APP000049,2025-06-23,Male,44,Master,Married,3,Rented,0,Hyderabad,Salaried,Manufacturing,436000.0,3,2,Auto Loan,444000.0,48,10.69,635,3,1,46,0,0,3,4,819200.0,58.7,0,0,52500.0,0.249,15200.0,68.4,31.6,0,77.8,31,35.9,2,0,1.879,1.018,0.761,11409.0,0.314,1.445,3.8,0,0.10625000000000001
APP000050,2025-04-04,Male,35,Bachelor,Married,1,Rented,3,Delhi,Salaried,Government,100000.0,3,2,Home Loan,517000.0,240,9.34,759,8,1,26,0,0,2,4,154400.0,95.9,0,0,25500.0,0.747,5500.0,54.4,45.6,0,95.9,28,28.7,1,0,1.544,5.17,0.674,4765.0,0.572,3.06,2.2,0,0.0676
APP000051,2025-03-07,Female,21,Bachelor,Married,2,Rented,5,Pune,Self-Employed,IT/Software,1042000.0,4,4,Home Loan,7092000.0,120,9.2,666,5,3,62,2,120,4,6,8600.0,83.4,0,0,185000.0,0.314,35400.0,68.6,31.4,0,82.5,22,13.8,1,1,0.008,6.806,0.112,90608.0,1.043,2.131,5.2,1,0.2151666666666667
APP000052,2025-03-26,Female,44,Bachelor,Married,1,Mortgaged,11,Mumbai,Salaried,IT/Software,427000.0,4,1,Education Loan,1834000.0,180,8.93,654,1,1,51,1,30,2,6,823000.0,8.7,2,0,72300.0,0.317,25900.0,53.1,46.9,0,91.5,33,24.9,3,1,1.927,4.295,0.12,18525.0,0.521,2.032,4.2,0,0.39816666666666667
APP000053,2025-06-11,Female,32,High School,Single,1,Owned,5,Delhi,Self-Employed,Banking/Finance,643000.0,5,0,Business Loan,2445000.0,36,14.9,741,4,0,25,0,0,4,5,97500.0,18.6,0,0,32700.0,0.983,23400.0,61.3,38.7,0,80.4,31,26.7,1,0,0.152,3.802,0.136,84637.0,1.58,0.61,2.1,0,0.1039
APP000054,2025-05-06,Female,21,Master,Married,1,Rented,8,Kolkata,Salaried,Manufacturing,396000.0,0,0,Business Loan,1985000.0,48,11.81,756,6,1,17,3,90,1,2,252200.0,45.8,0,0,39700.0,0.831,28400.0,60.5,39.5,0,72.4,30,6.6,0,0,0.637,5.013,0.15,52088.0,1.578,1.203,1.4,0,0.2862368686868687
APP000055,2025-12-29,Male,48,High School,Married,0,Mortgaged,7,Delhi,Salaried,Education,311000.0,10,4,Home Loan,1218000.0,120,9.47,798,4,1,3,3,60,0,3,63100.0,49.6,0,0,30600.0,0.18,14600.0,60.6,39.4,1,90.4,25,27.6,4,0,0.203,3.916,0.626,15741.0,0.607,1.181,0.2,0,0.21883333333333335
APP000056,2025-04-27,Female,55,High School,Married,2,Mortgaged,1,Mumbai,Salaried,Healthcare,353000.0,2,2,Home Loan,2411000.0,300,7.64,726,2,2,129,0,0,3,5,213500.0,26.7,0,2,100600.0,0.052,22000.0,58.2,41.8,0,94.8,32,8.2,0,3,0.605,6.83,0.816,18037.0,0.613,3.42,10.8,1,0.2039815864022663
APP000057,2025-10-08,Male,34,Bachelor,Single,1,Living with Parents,6,Chennai,Salaried,Education,415000.0,0,0,Credit Card,169000.0,12,39.77,685,3,0,24,1,30,2,5,239600.0,26.7,0,1,98300.0,0.056,17300.0,54.5,45.5,0,89.6,29,8.4,1,0,0.577,0.407,0.82,17298.0,0.5,2.842,2.0,0,0.2081516064257028
APP000058,2025-11-09,Male,56,High School,Married,2,Owned,5,Pune,Salaried,Government,316000.0,1,0,Personal Loan,304000.0,12,16.75,741,4,0,53,0,0,3,5,609500.0,56.6,0,0,72000.0,0.52,20900.0,33.8,66.2,1,78.3,27,15.6,1,1,1.929,0.962,0.103,27690.0,1.052,2.734,4.4,1,0.24075
APP000059,2025-11-19,Male,35,Other,Single,0,Mortgaged,1,Ahmedabad,Salaried,Manufacturing,342000.0,2,0,Education Loan,1271000.0,84,8.13,649,2,2,58,3,120,1,1,362500.0,94.6,0,0,72400.0,1.271,24700.0,63.2,36.8,1,77.4,29,12.1,1,0,1.06,3.716,0.774,19892.0,0.698,2.54,4.8,0,0.4439608187134503
APP000060,2025-05-06,Male,31,Master,Single,0,Rented,0,Bangalore,Salaried,Other,461000.0,1,0,Personal Loan,1350000.0,24,16.56,856,3,3,94,2,60,1,2,584100.0,16.3,3,0,125400.0,0.05,29000.0,55.4,44.6,0,74.2,29,36.3,1,0,1.267,2.928,0.592,66462.0,1.73,3.264,7.8,1,0.5010361532899493
APP000061,2025-06-25,Male,28,Bachelor,Married,1,Owned,6,Chennai,Self-Employed,IT/Software,171000.0,10,0,Home Loan,817000.0,360,7.81,725,5,0,176,1,30,2,3,486600.0,66.1,0,0,50300.0,0.059,6500.0,67.0,33.0,0,95.5,31,38.6,2,0,2.846,4.778,0.34,5887.0,0.413,3.53,14.7,0,0.2504166666666667
APP000062,2025-05-23,Male,51,Master,Married,1,Rented,17,Hyderabad,Salaried,Banking/Finance,484000.0,12,1,Credit Card,51000.0,12,37.54,692,8,3,61,2,90,5,6,315400.0,60.2,0,0,138600.0,0.246,28600.0,34.2,65.8,0,96.8,23,9.7,2,1,0.652,0.105,0.888,5163.0,0.128,3.436,5.1,0,0.2671652892561983
APP000063,2025-08-16,Female,27,Master,Divorced,2,Mortgaged,6,Mumbai,Business Owner,Other,1976000.0,7,1,Home Loan,5483000.0,180,7.67,632,1,1,121,0,0,1,2,424300.0,1.3,2,0,135100.0,0.182,125300.0,38.8,61.2,3,97.2,36,14.9,1,0,0.215,2.775,0.631,51359.0,0.312,0.82,10.1,1,0.23699999999999996
APP000064,2025-02-11,Male,42,Bachelor,Married,4,Owned,6,Delhi,Salaried,IT/Software,702000.0,10,2,Auto Loan,1037000.0,48,10.74,626,2,2,43,1,30,2,3,84900.0,34.8,0,0,52600.0,0.05,50100.0,60.2,39.8,0,76.3,30,16.5,1,0,0.121,1.477,0.552,26671.0,0.456,0.899,3.6,0,0.05516666666666664
APP000065,2025-09-03,Male,29,Master,Married,2,Mortgaged,0,Bangalore,Salaried,Real Estate,444000.0,0,0,Personal Loan,1284000.0,12,15.48,679,2,2,2,0,0,3,6,796000.0,80.3,0,0,49900.0,0.389,20900.0,52.7,47.3,0,74.0,37,14.4,3,0,1.793,2.892,0.487,116183.0,3.14,1.349,0.2,0,0.21525
APP000066,2025-04-17,Male,30,High School,Married,1,Owned,1,Delhi,Salaried,Other,213000.0,0,0,Credit Card,56000.0,12,39.91,622,3,3,84,3,90,3,5,115900.0,42.1,0,0,17600.0,0.49,15400.0,41.3,58.7,0,88.2,29,30.4,1,0,0.544,0.263,0.258,5736.0,0.323,0.992,7.0,1,0.3139131455399061
APP000067,2025-03-03,Male,45,Bachelor,Married,1,Mortgaged,4,Chennai,Salaried,Retail,607000.0,9,0,Business Loan,2803000.0,120,12.3,721,4,1,42,3,180,2,4,837300.0,79.9,0,0,32600.0,0.172,44100.0,50.5,49.5,0,86.5,39,14.2,1,0,1.379,4.618,0.79,40703.0,0.805,0.644,3.5,1,0.41475000000000006
APP000068,2025-06-11,Female,31,Bachelor,Single,2,Rented,0,Pune,Business Owner,IT/Software,705000.0,3,3,Personal Loan,1728000.0,48,17.19,554,3,1,30,1,90,4,6,264000.0,12.8,0,0,120900.0,0.348,31300.0,42.2,57.8,0,73.4,29,15.7,0,0,0.374,2.451,0.341,50032.0,0.852,2.058,2.5,0,0.11394680851063826
APP000069,2025-01-20,Male,30,Master,Single,1,Owned,5,Hyderabad,Salaried,Manufacturing,613000.0,16,4,Personal Loan,1715000.0,48,15.9,614,3,0,14,1,60,2,6,147200.0,86.3,1,0,35900.0,0.282,33800.0,51.6,48.4,0,97.4,29,24.4,0,0,0.24,2.798,0.105,48516.0,0.95,0.703,1.2,0,0.13483333333333333
APP000070,2025-06-20,Female,46,High School,Single,4,Owned,0,Kolkata,Salaried,IT/Software,285000.0,11,4,Auto Loan,480000.0,48,8.88,684,2,2,40,0,0,1,3,427200.0,38.0,0,0,41700.0,0.64,10300.0,47.5,52.5,2,96.8,33,22.3,0,0,1.499,1.684,0.866,11917.0,0.502,1.756,3.3,0,0.121
APP000071,2025-09-16,Female,50,Bachelor,Married,1,Mortgaged,2,Pune,Salaried,Banking/Finance,312000.0,2,2,Home Loan,934000.0,180,9.37,781,3,1,76,0,0,3,4,1139900.0,78.6,0,0,85000.0,0.21,14300.0,57.5,42.5,0,88.0,22,37.8,2,0,3.654,2.994,0.227,9680.0,0.372,3.269,6.3,0,0.06975
APP000072,2025-02-23,Male,41,Bachelor,Divorced,1,Owned,1,Delhi,Salaried,IT/Software,472000.0,2,1,Personal Loan,821000.0,60,15.26,765,2,0,57,0,0,2,3,268900.0,96.8,0,0,53100.0,0.524,16500.0,44.0,56.0,0,82.6,35,20.5,1,1,0.57,1.739,0.261,19644.0,0.499,1.35,4.8,0,0.031920338983050855
