applicant_id,application_date,gender,age,education,marital_status,dependents,residence_type,years_at_current_residence,city,employment_type,industry,annual_income,years_employed,years_with_current_employer,loan_purpose,loan_amount_requested,loan_tenure_months,interest_rate
APP000016,2025-02-14,Male,35,High School,Married,0,Rented,11,Ahmedabad,Salaried,Manufacturing,430000.0,1,1,Personal Loan,1256000.0,48,10.85
APP000017,2025-09-15,Male,32,Master,Married,1,Rented,5,Chennai,Freelancer,Banking/Finance,527000.0,4,0,Business Loan,2508000.0,120,15.77
APP000018,2025-06-19,Male,30,Bachelor,Single,3,Rented,7,Chennai,Salaried,Government,287000.0,11,0,Auto Loan,729000.0,48,10.49
APP000019,2025-10-03,Male,28,High School,Married,1,Rented,1,Ahmedabad,Business Owner,IT/Software,794000.0,24,1,Home Loan,2181000.0,360,9.09
APP000020,2025-07-06,Male,39,Master,Married,3,Owned,4,Delhi,Salaried,IT/Software,297000.0,9,9,Home Loan,1425000.0,360,9.26
APP000021,2025-06-10,Female,48,Bachelor,Single,2,Rented,6,Delhi,Business Owner,Other,190000.0,0,0,Personal Loan,413000.0,24,15.71
APP000022,2025-02-21,Male,46,Bachelor,Married,3,Rented,1,Pune,Salaried,IT/Software,481000.0,13,0,Auto Loan,1195000.0,72,10.28
APP000023,2025-08-15,Male,22,PhD,Single,4,Living with Parents,6,Pune,Business Owner,Government,100000.0,7,1,Personal Loan,241000.0,24,14.01
APP000024,2025-09-05,Male,47,Bachelor,Single,0,Rented,4,Other,Salaried,Real Estate,170000.0,0,0,Home Loan,847000.0,180,9.31
APP000025,2025-06-11,Male,31,Bachelor,Married,1,Rented,1,Bangalore,Salaried,Other,513000.0,2,1,Auto Loan,1925000.0,60,11.49
APP000026,2025-07-30,Female,41,Bachelor,Married,1,Rented,0,Delhi,Salaried,Manufacturing,172000.0,9,2,Business Loan,1355000.0,60,11.18
APP000027,2025-07-29,Male,25,Bachelor,Single,2,Living with Parents,1,Chennai,Salaried,Retail,309000.0,12,8,Auto Loan,915000.0,36,10.33
APP000028,2025-11-07,Male,36,Master,Married,1,Rented,4,Bangalore,Self-Employed,Healthcare,678000.0,8,0,Home Loan,4899000.0,240,8.53
APP000029,2025-09-10,Male,38,Bachelor,Single,1,Rented,4,Other,Salaried,Other,476000.0,3,3,Home Loan,2947000.0,120,9.15
APP000030,2025-09-26,Male,21,High School,Married,4,Living with Parents,3,Other,Salaried,Education,477000.0,33,0,Auto Loan,1151000.0,48,9.3
APP000031,2025-04-19,Female,41,High School,Married,0,Living with Parents,1,Chennai,Salaried,Education,502000.0,0,0,Consumer Durable,76000.0,12,16.12
APP000032,2025-12-19,Male,48,Bachelor,Divorced,4,Owned,2,Bangalore,Self-Employed,Healthcare,281000.0,0,0,Home Loan,828000.0,360,8.22
APP000033,2025-03-30,Male,33,Bachelor,Married,1,Rented,0,Chennai,Freelancer,Banking/Finance,452000.0,3,3,Auto Loan,1615000.0,36,9.82
APP000034,2025-04-03,Female,48,Bachelor,Single,1,Living with Parents,5,Kolkata,Salaried,Manufacturing,329000.0,7,2,Personal Loan,828000.0,36,13.36
APP000035,2025-06-16,Female,33,Bachelor,Single,0,Rented,10,Hyderabad,Salaried,IT/Software,100000.0,0,0,Business Loan,342000.0,84,14.88
APP000036,2025-04-09,Female,43,High School,Single,1,Rented,3,Delhi,Salaried,Healthcare,646000.0,3,0,Home Loan,3943000.0,300,8.75
APP000037,2025-09-26,Male,21,Bachelor,Divorced,3,Owned,1,Kolkata,Freelancer,Manufacturing,261000.0,1,1,Personal Loan,287000.0,12,14.45
APP000038,2025-04-11,Male,59,PhD,Married,0,Rented,8,Other,Self-Employed,Education,600000.0,4,1,Personal Loan,436000.0,60,17.12
APP000039,2025-07-31,Female,49,High School,Single,2,Rented,1,Kolkata,Salaried,Manufacturing,279000.0,2,0,Home Loan,1374000.0,120,9.33
APP000040,2025-01-17,Male,32,Bachelor,Single,0,Owned,4,Delhi,Salaried,Healthcare,479000.0,6,0,Education Loan,1490000.0,60,10.28
APP000041,2025-02-22,Male,21,Bachelor,Married,1,Owned,0,Ahmedabad,Salaried,IT/Software,337000.0,0,0,Home Loan,2017000.0,240,8.47
APP000042,2025-01-06,Male,37,Master,Single,4,Owned,6,Other,Self-Employed,Education,371000.0,8,1,Personal Loan,826000.0,24,14.27
APP000043,2025-10-05,Male,21,High School,Married,2,Owned,3,Pune,Salaried,Education,778000.0,4,4,Credit Card,323000.0,12,35.97
APP000044,2025-08-06,Female,39,PhD,Married,1,Owned,2,Delhi,Salaried,Government,100000.0,8,2,Business Loan,834000.0,120,13.03
APP000045,2025-01-12,Male,39,Bachelor,Married,1,Mortgaged,13,Mumbai,Business Owner,IT/Software,535000.0,4,2,Education Loan,1235000.0,60,8.87
APP000046,2025-06-20,Female,25,Master,Married,2,Owned,3,Bangalore,Self-Employed,Manufacturing,657000.0,2,2,Personal Loan,1840000.0,60,15.02
APP000047,2025-05-09,Male,46,High School,Single,0,Mortgaged,0,Chennai,Salaried,Healthcare,220000.0,1,1,Education Loan,1013000.0,120,10.74
APP000048,2025-07-25,Male,43,Master,Married,1,Owned,16,Other,Freelancer,Education,198000.0,13,2,Home Loan,747000.0,300,8.24
APP000049,2025-06-23,Male,44,Master,Married,3,Rented,0,Hyderabad,Salaried,Manufacturing,436000.0,3,2,Auto Loan,444000.0,48,10.69
APP000050,2025-04-04,Male,35,Bachelor,Married,1,Rented,3,Delhi,Salaried,Government,100000.0,3,2,Home Loan,517000.0,240,9.34
APP000051,2025-03-07,Female,21,Bachelor,Married,2,Rented,5,Pune,Self-Employed,IT/Software,1042000.0,4,4,Home Loan,7092000.0,120,9.2
APP000052,2025-03-26,Female,44,Bachelor,Married,1,Mortgaged,11,Mumbai,Salaried,IT/Software,427000.0,4,1,Education Loan,1834000.0,180,8.93
APP000053,2025-06-11,Female,32,High School,Single,1,Owned,5,Delhi,Self-Employed,Banking/Finance,643000.0,5,0,Business Loan,2445000.0,36,14.9
APP000054,2025-05-06,Female,21,Master,Married,1,Rented,8,Kolkata,Salaried,Manufacturing,396000.0,0,0,Business Loan,1985000.0,48,11.81
APP000055,2025-12-29,Male,48,High School,Married,0,Mortgaged,7,Delhi,Salaried,Education,311000.0,10,4,Home Loan,1218000.0,120,9.47
APP000056,2025-04-27,Female,55,High School,Married,2,Mortgaged,1,Mumbai,Salaried,Healthcare,353000.0,2,2,Home Loan,2411000.0,300,7.64
APP000057,2025-10-08,Male,34,Bachelor,Single,1,Living with Parents,6,Chennai,Salaried,Education,415000.0,0,0,Credit Card,169000.0,12,39.77
APP000058,2025-11-09,Male,56,High School,Married,2,Owned,5,Pune,Salaried,Government,316000.0,1,0,Personal Loan,304000.0,12,16.75
APP000059,2025-11-19,Male,35,Other,Single,0,Mortgaged,1,Ahmedabad,Salaried,Manufacturing,342000.0,2,0,Education Loan,1271000.0,84,8.13
APP000060,2025-05-06,Male,31,Master,Single,0,Rented,0,Bangalore,Salaried,Other,461000.0,1,0,Personal Loan,1350000.0,24,16.56
APP000061,2025-06-25,Male,28,Bachelor,Married,1,Owned,6,Chennai,Self-Employed,IT/Software,171000.0,10,0,Home Loan,817000.0,360,7.81
APP000062,2025-05-23,Male,51,Master,Married,1,Rented,17,Hyderabad,Salaried,Banking/Finance,484000.0,12,1,Credit Card,51000.0,12,37.54
APP000063,2025-08-16,Female,27,Master,Divorced,2,Mortgaged,6,Mumbai,Business Owner,Other,1976000.0,7,1,Home Loan,5483000.0,180,7.67
APP000064,2025-02-11,Male,42,Bachelor,Married,4,Owned,6,Delhi,Salaried,IT/Software,702000.0,10,2,Auto Loan,1037000.0,48,10.74
APP000065,2025-09-03,Male,29,Master,Married,2,Mortgaged,0,Bangalore,Salaried,Real Estate,444000.0,0,0,Personal Loan,1284000.0,12,15.48
APP000066,2025-04-17,Male,30,High School,Married,1,Owned,1,Delhi,Salaried,Other,213000.0,0,0,Credit Card,56000.0,12,39.91
APP000067,2025-03-03,Male,45,Bachelor,Married,1,Mortgaged,4,Chennai,Salaried,Retail,607000.0,9,0,Business Loan,2803000.0,120,12.3
APP000068,2025-06-11,Female,31,Bachelor,Single,2,Rented,0,Pune,Business Owner,IT/Software,705000.0,3,3,Personal Loan,1728000.0,48,17.19
APP000069,2025-01-20,Male,30,Master,Single,1,Owned,5,Hyderabad,Salaried,Manufacturing,613000.0,16,4,Personal Loan,1715000.0,48,15.9
APP000070,2025-06-20,Female,46,High School,Single,4,Owned,0,Kolkata,Salaried,IT/Software,285000.0,11,4,Auto Loan,480000.0,48,8.88
APP000071,2025-09-16,Female,50,Bachelor,Married,1,Mortgaged,2,Pune,Salaried,Banking/Finance,312000.0,2,2,Home Loan,934000.0,180,9.37
APP000072,2025-02-23,Male,41,Bachelor,Divorced,1,Owned,1,Delhi,Salaried,IT/Software,472000.0,2,1,Personal Loan,821000.0,60,15.26
APP000073,2025-08-24,Male,28,Bachelor,Married,2,Owned,0,Mumbai,Business Owner,IT/Software,457000.0,12,0,Education Loan,847000.0,84,10.96
APP000074,2025-07-05,Female,29,Master,Divorced,0,Rented,4,Pune,Self-Employed,Education,1163000.0,3,3,Home Loan,3789000.0,180,9.36
APP000075,2025-10-03,Female,35,Bachelor,Widowed,0,Owned,2,Delhi,Salaried,Other,485000.0,3,3,Personal Loan,880000.0,48,16.04
APP000076,2025-10-26,Female,38,High School,Married,2,Owned,0,Bangalore,Business Owner,Education,1687000.0,4,0,Education Loan,4665000.0,180,8.13
APP000077,2025-08-06,Female,25,High School,Single,1,Mortgaged,2,Ahmedabad,Salaried,Healthcare,230000.0,8,1,Home Loan,1826000.0,360,7.57
APP000078,2025-10-10,Male,42,Bachelor,Married,2,Owned,4,Delhi,Salaried,Banking/Finance,269000.0,2,0,Home Loan,720000.0,300,8.17
APP000079,2025-07-04,Male,35,Bachelor,Divorced,1,Owned,0,Hyderabad,Salaried,Other,809000.0,3,3,Home Loan,3381000.0,360,8.8
APP000080,2025-09-01,Male,21,High School,Married,0,Mortgaged,4,Mumbai,Salaried,Banking/Finance,159000.0,3,3,Business Loan,1127000.0,84,14.22
APP000081,2025-04-17,Female,25,Bachelor,Married,1,Living with Parents,1,Bangalore,Self-Employed,IT/Software,1008000.0,10,4,Business Loan,3383000.0,48,13.09
APP000082,2025-08-17,Female,29,Bachelor,Single,2,Mortgaged,1,Other,Salaried,Banking/Finance,430000.0,3,0,Education Loan,499000.0,60,10.59
APP000083,2025-05-17,Male,34,High School,Married,2,Rented,7,Other,Business Owner,Banking/Finance,588000.0,10,0,Business Loan,2995000.0,48,12.83
APP000084,2025-11-26,Male,53,Bachelor,Married,2,Rented,3,Other,Business Owner,Manufacturing,1298000.0,4,4,Home Loan,4541000.0,300,8.33
APP000085,2025-07-09,Male,37,Master,Married,1,Living with Parents,2,Hyderabad,Salaried,Education,644000.0,5,3,Education Loan,2778000.0,60,9.25
APP000086,2025-06-15,Male,26,Bachelor,Divorced,1,Mortgaged,8,Delhi,Salaried,Retail,411000.0,6,1,Personal Loan,560000.0,48,15.06
APP000087,2025-02-09,Female,37,Master,Single,0,Rented,12,Bangalore,Retired,Retail,278000.0,2,1,Personal Loan,741000.0,36,12.3
APP000088,2025-05-03,Female,31,High School,Widowed,0,Mortgaged,1,Delhi,Business Owner,Real Estate,884000.0,5,1,Personal Loan,1452000.0,24,16.19
APP000089,2025-11-06,Female,38,Bachelor,Single,0,Rented,0,Mumbai,Salaried,Manufacturing,389000.0,1,1,Auto Loan,781000.0,84,8.05
APP000090,2025-09-03,Male,40,Bachelor,Divorced,2,Living with Parents,3,Delhi,Salaried,IT/Software,150000.0,2,1,Personal Loan,198000.0,48,15.65
APP000091,2025-05-01,Male,47,Bachelor,Married,2,Mortgaged,6,Chennai,Self-Employed,Healthcare,339000.0,11,9,Home Loan,1501000.0,300,9.27
APP000092,2025-06-17,Female,34,Bachelor,Married,2,Rented,4,Mumbai,Salaried,Retail,587000.0,2,1,Auto Loan,627000.0,36,11.46
APP000093,2025-07-08,Female,51,Master,Single,3,Living with Parents,5,Other,Business Owner,Manufacturing,538000.0,2,1,Home Loan,2700000.0,120,8.85
APP000094,2025-07-13,Male,44,Bachelor,Married,3,Rented,5,Hyderabad,Self-Employed,Manufacturing,291000.0,13,5,Home Loan,681000.0,180,8.54
APP000095,2025-02-08,Female,27,High School,Divorced,0,Mortgaged,15,Delhi,Retired,Banking/Finance,214000.0,2,0,Business Loan,942000.0,84,15.21
APP000096,2025-06-01,Male,57,Bachelor,Single,0,Owned,10,Bangalore,Salaried,Banking/Finance,363000.0,6,4,Personal Loan,557000.0,60,12.77
APP000097,2025-09-18,Male,38,Master,Single,0,Mortgaged,0,Bangalore,Salaried,Healthcare,185000.0,17,0,Credit Card,62000.0,12,41.57
APP000098,2025-03-15,Male,26,Other,Married,1,Owned,3,Ahmedabad,Salaried,IT/Software,375000.0,35,2,Business Loan,1830000.0,48,15.04
APP000099,2025-08-05,Male,51,Bachelor,Single,1,Living with Parents,3,Mumbai,Salaried,Healthcare,414000.0,4,0,Personal Loan,863000.0,60,12.02
APP000100,2025-11-29,Male,55,Bachelor,Single,1,Owned,3,Chennai,Business Owner,Manufacturing,441000.0,5,5,Credit Card,149000.0,12,29.24
APP000101,2025-11-25,Male,34,Bachelor,Married,4,Mortgaged,13,Kolkata,Salaried,IT/Software,448000.0,3,3,Home Loan,1919000.0,300,8.61
APP000102,2025-07-26,Female,29,Master,Single,2,Owned,1,Bangalore,Business Owner,IT/Software,2194000.0,8,0,Home Loan,11764000.0,360,8.66
APP000103,2025-04-17,Male,33,Other,Married,0,Mortgaged,4,Bangalore,Self-Employed,IT/Software,507000.0,7,6,Business Loan,3067000.0,48,11.17
APP000104,2025-02-23,Male,42,Master,Divorced,0,Rented,11,Bangalore,Salaried,Healthcare,216000.0,2,0,Business Loan,1166000.0,36,13.28
APP000105,2025-03-05,Female,47,Bachelor,Married,2,Living with Parents,0,Kolkata,Self-Employed,Manufacturing,916000.0,0,0,Education Loan,3292000.0,60,8.46
APP000106,2025-09-26,Male,40,High School,Single,1,Mortgaged,10,Mumbai,Salaried,IT/Software,546000.0,5,0,Business Loan,5377000.0,60,14.0
APP000107,2025-03-31,Male,36,Master,Married,0,Mortgaged,7,Jaipur,Salaried,Real Estate,573000.0,0,0,Auto Loan,1748000.0,48,9.03
APP000108,2025-06-16,Female,49,Master,Married,2,Owned,1,Mumbai,Freelancer,Manufacturing,420000.0,6,0,Home Loan,2994000.0,240,7.64
APP000109,2025-01-25,Male,31,Master,Married,2,Owned,1,Bangalore,Salaried,Retail,312000.0,10,3,Credit Card,137000.0,12,40.44
APP000110,2025-11-23,Male,45,High School,Married,1,Mortgaged,1,Bangalore,Salaried,IT/Software,423000.0,5,3,Home Loan,2388000.0,300,8.69
APP000111,2025-02-02,Male,32,Bachelor,Divorced,1,Owned,1,Bangalore,Salaried,IT/Software,314000.0,2,0,Home Loan,1612000.0,300,8.59
APP000112,2025-10-30,Male,39,Bachelor,Married,4,Mortgaged,5,Delhi,Self-Employed,Manufacturing,1003000.0,4,4,Business Loan,3840000.0,48,14.56
APP000113,2025-03-22,Female,33,Master,Single,0,Owned,20,Hyderabad,Retired,Education,350000.0,2,0,Home Loan,2192000.0,180,8.33
APP000114,2025-01-10,Female,34,High School,Married,1,Rented,0,Chennai,Business Owner,Government,100000.0,0,0,Personal Loan,62000.0,48,16.33
APP000115,2025-02-06,Female,31,Bachelor,Married,0,Living with Parents,1,Hyderabad,Salaried,Manufacturing,333000.0,2,0,Personal Loan,493000.0,36,10.57
APP000116,2025-05-09,Female,48,Bachelor,Widowed,0,Mortgaged,1,Hyderabad,Business Owner,Manufacturing,1218000.0,4,4,Personal Loan,2780000.0,12,13.12
APP000117,2025-02-08,Female,27,High School,Widowed,1,Owned,13,Delhi,Salaried,Retail,216000.0,2,2,Personal Loan,507000.0,48,16.57
APP000118,2025-09-15,Male,27,Bachelor,Married,1,Rented,4,Other,Salaried,Banking/Finance,404000.0,0,0,Home Loan,1134000.0,300,8.39
APP000119,2025-07-14,Female,56,High School,Married,2,Living with Parents,1,Ahmedabad,Salaried,Other,136000.0,0,0,Business Loan,702000.0,120,14.02
APP000120,2025-12-10,Male,44,Bachelor,Married,3,Owned,8,Ahmedabad,Salaried,Other,340000.0,0,0,Personal Loan,363000.0,36,18.0
APP000121,2025-10-23,Female,21,PhD,Married,2,Owned,12,Hyderabad,Freelancer,Retail,343000.0,3,1,Personal Loan,835000.0,48,17.67
APP000122,2025-09-10,Female,29,Other,Single,1,Rented,2,Ahmedabad,Retired,Healthcare,133000.0,0,0,Home Loan,361000.0,300,8.41
APP000123,2025-03-09,Male,21,High School,Married,2,Owned,0,Pune,Salaried,Government,419000.0,3,1,Home Loan,1371000.0,360,8.1
APP000124,2025-03-10,Male,25,Master,Married,0,Rented,1,Chennai,Salaried,IT/Software,479000.0,0,0,Auto Loan,765000.0,60,9.37
APP000125,2025-10-20,Male,21,Bachelor,Married,4,Rented,1,Kolkata,Retired,Retail,157000.0,14,1,Personal Loan,86000.0,24,13.26
APP000126,2025-04-16,Male,33,PhD,Married,0,Mortgaged,1,Hyderabad,Business Owner,Education,1161000.0,30,14,Personal Loan,2919000.0,48,17.54
APP000127,2025-10-31,Female,23,Master,Married,1,Living with Parents,0,Mumbai,Salaried,IT/Software,554000.0,2,2,Auto Loan,1525000.0,48,9.02
APP000128,2025-12-21,Female,35,High School,Married,1,Rented,10,Other,Salaried,Healthcare,370000.0,9,5,Credit Card,96000.0,12,29.52
APP000129,2025-02-20,Male,21,Bachelor,Married,1,Rented,0,Chennai,Business Owner,Banking/Finance,100000.0,13,2,Home Loan,752000.0,180,9.38
APP000130,2025-02-08,Male,35,Bachelor,Married,0,Mortgaged,2,Hyderabad,Salaried,Government,304000.0,11,2,Home Loan,1912000.0,180,9.08
APP000131,2025-09-06,Male,30,Master,Married,4,Owned,0,Bangalore,Freelancer,Other,405000.0,4,0,Personal Loan,631000.0,12,12.8
APP000132,2025-07-23,Male,50,Bachelor,Single,2,Living with Parents,1,Mumbai,Salaried,IT/Software,227000.0,3,1,Auto Loan,508000.0,60,10.56
APP000133,2025-12-30,Male,49,Bachelor,Single,1,Owned,6,Ahmedabad,Freelancer,IT/Software,318000.0,2,2,Home Loan,1871000.0,360,8.83
APP000134,2025-01-11,Male,42,Bachelor,Single,0,Owned,1,Pune,Salaried,Other,271000.0,0,0,Home Loan,1871000.0,120,8.03
APP000135,2025-03-12,Female,31,Other,Single,5,Rented,30,Ahmedabad,Freelancer,Manufacturing,347000.0,21,3,Credit Card,113000.0,12,29.34
APP000136,2025-10-20,Male,54,PhD,Married,1,Rented,0,Chennai,Salaried,IT/Software,366000.0,0,0,Home Loan,1862000.0,360,8.74
APP000137,2025-07-20,Male,21,Bachelor,Married,4,Rented,0,Ahmedabad,Freelancer,IT/Software,341000.0,1,1,Business Loan,2692000.0,48,12.71
APP000138,2025-05-30,Female,21,Master,Single,0,Owned,7,Ahmedabad,Salaried,Other,473000.0,4,4,Education Loan,811000.0,84,8.61
APP000139,2025-11-21,Male,34,Master,Married,1,Rented,18,Bangalore,Salaried,Healthcare,359000.0,0,0,Consumer Durable,85000.0,6,15.57
APP000140,2025-01-08,Female,57,Master,Married,2,Mortgaged,15,Mumbai,Freelancer,Other,682000.0,7,3,Home Loan,3161000.0,300,8.51
APP000141,2025-12-09,Female,32,High School,Married,0,Mortgaged,8,Jaipur,Business Owner,Manufacturing,1504000.0,0,0,Home Loan,6291000.0,360,8.34
APP000142,2025-06-09,Male,33,Bachelor,Single,3,Owned,18,Delhi,Business Owner,Education,1022000.0,11,0,Auto Loan,2373000.0,48,8.53
APP000143,2025-04-28,Male,21,Bachelor,Single,1,Owned,9,Jaipur,Salaried,Banking/Finance,472000.0,15,1,Personal Loan,965000.0,36,12.96
APP000144,2025-01-20,Male,44,Bachelor,Married,3,Rented,0,Hyderabad,Salaried,IT/Software,317000.0,6,2,Education Loan,1207000.0,84,8.84
APP000145,2025-06-26,Male,44,High School,Divorced,0,Mortgaged,9,Pune,Salaried,Education,456000.0,6,3,Education Loan,1033000.0,60,8.49
APP000146,2025-12-30,Male,42,Bachelor,Single,2,Mortgaged,3,Delhi,Freelancer,IT/Software,458000.0,5,0,Home Loan,2249000.0,180,7.8
APP000147,2025-01-14,Female,28,Bachelor,Married,1,Mortgaged,3,Bangalore,Salaried,Education,484000.0,0,0,Auto Loan,1201000.0,84,11.0
APP000148,2025-05-16,Male,27,Bachelor,Divorced,1,Owned,0,Bangalore,Business Owner,IT/Software,1324000.0,2,2,Education Loan,1603000.0,60,8.57
APP000149,2025-03-16,Male,22,Bachelor,Married,1,Rented,4,Delhi,Self-Employed,Manufacturing,721000.0,5,0,Personal Loan,577000.0,12,11.38
APP000150,2025-07-31,Male,35,High School,Married,3,Mortgaged,5,Kolkata,Salaried,Education,448000.0,1,1,Credit Card,92000.0,12,35.22
APP000151,2025-01-03,Female,24,Master,Married,4,Living with Parents,7,Mumbai,Business Owner,IT/Software,1436000.0,0,0,Personal Loan,3833000.0,48,13.25
APP000152,2025-07-14,Male,23,PhD,Married,2,Owned,1,Chennai,Self-Employed,Healthcare,630000.0,4,4,Business Loan,3201000.0,60,13.43
APP000153,2025-02-04,Male,30,Bachelor,Married,2,Owned,0,Hyderabad,Self-Employed,Manufacturing,420000.0,2,2,Home Loan,1697000.0,300,7.75
APP000154,2025-05-05,Male,30,Master,Divorced,0,Rented,2,Other,Business Owner,Government,1085000.0,1,1,Credit Card,492000.0,12,28.37
APP000155,2025-11-03,Female,29,High School,Married,3,Rented,2,Jaipur,Salaried,Banking/Finance,499000.0,9,2,Personal Loan,311000.0,36,14.95
APP000156,2025-08-27,Male,39,Master,Married,0,Rented,6,Chennai,Salaried,Government,344000.0,7,0,Home Loan,1635000.0,120,9.46
APP000157,2025-07-20,Female,35,High School,Divorced,3,Mortgaged,1,Ahmedabad,Business Owner,Retail,614000.0,6,0,Home Loan,4750000.0,300,9.48
APP000158,2025-07-19,Female,32,Bachelor,Married,2,Living with Parents,0,Ahmedabad,Business Owner,Banking/Finance,866000.0,20,1,Personal Loan,1450000.0,60,11.61
APP000159,2025-11-13,Male,36,Bachelor,Married,1,Owned,2,Mumbai,Self-Employed,Banking/Finance,983000.0,6,1,Home Loan,4708000.0,180,8.73
APP000160,2025-09-07,Female,25,Bachelor,Married,2,Mortgaged,4,Other,Retired,Education,200000.0,7,0,Home Loan,1023000.0,180,9.04
APP000161,2025-04-23,Male,36,Bachelor,Married,3,Owned,1,Pune,Business Owner,Education,106000.0,1,1,Home Loan,590000.0,240,9.06
APP000162,2025-02-24,Female,36,Bachelor,Married,0,Mortgaged,0,Pune,Business Owner,Retail,100000.0,8,1,Credit Card,26000.0,12,34.99
APP000163,2025-07-06,Female,21,Bachelor,Single,4,Owned,2,Kolkata,Salaried,Healthcare,205000.0,4,0,Personal Loan,366000.0,24,12.56
APP000164,2025-07-18,Male,44,Master,Married,0,Living with Parents,16,Delhi,Salaried,IT/Software,222000.0,5,1,Business Loan,1040000.0,120,15.31
APP000165,2025-02-06,Male,26,Bachelor,Married,1,Rented,17,Mumbai,Salaried,Manufacturing,321000.0,0,0,Business Loan,2643000.0,36,12.55
APP000166,2025-12-05,Female,35,High School,Married,2,Rented,6,Delhi,Salaried,Retail,322000.0,7,3,Business Loan,1883000.0,84,14.16
APP000167,2025-01-26,Male,46,Bachelor,Married,4,Rented,7,Ahmedabad,Self-Employed,Banking/Finance,749000.0,6,2,Business Loan,7185000.0,120,12.36
APP000168,2025-10-13,Male,44,Master,Single,0,Rented,1,Hyderabad,Salaried,Banking/Finance,589000.0,0,0,Home Loan,2776000.0,240,7.94
APP000169,2025-10-22,Male,35,Bachelor,Married,1,Owned,2,Bangalore,Self-Employed,Government,866000.0,1,1,Education Loan,2195000.0,120,8.24
APP000170,2025-06-30,Male,31,Bachelor,Married,1,Rented,4,Delhi,Self-Employed,IT/Software,387000.0,11,0,Business Loan,3435000.0,60,14.1
APP000171,2025-05-17,Female,44,Bachelor,Divorced,1,Mortgaged,6,Ahmedabad,Salaried,Banking/Finance,310000.0,5,0,Personal Loan,376000.0,24,13.41
APP000172,2025-10-01,Male,41,Bachelor,Single,3,Living with Parents,0,Chennai,Salaried,Retail,772000.0,0,0,Auto Loan,1449000.0,48,8.25
APP000173,2025-02-07,Male,28,Bachelor,Married,3,Rented,3,Hyderabad,Salaried,Banking/Finance,173000.0,1,0,Business Loan,606000.0,120,15.63
APP000174,2025-11-23,Male,27,Bachelor,Married,0,Mortgaged,0,Mumbai,Self-Employed,Healthcare,874000.0,3,1,Credit Card,388000.0,12,39.8
APP000175,2025-03-19,Female,21,High School,Married,3,Mortgaged,5,Chennai,Salaried,Manufacturing,272000.0,13,6,Personal Loan,549000.0,48,11.25
APP000176,2025-05-14,Male,36,Bachelor,Married,1,Mortgaged,7,Mumbai,Freelancer,Other,506000.0,4,2,Personal Loan,882000.0,36,14.2
APP000177,2025-04-06,Female,34,High School,Single,1,Owned,8,Ahmedabad,Salaried,Banking/Finance,578000.0,1,1,Home Loan,3820000.0,360,9.26
