applicant_id,credit_score,num_credit_accounts,num_active_accounts,credit_history_months,num_delinquent_accounts,max_dpd_last_12m,num_enquiries_6m,num_enquiries_12m,total_outstanding_debt,secured_loan_percentage,num_written_off_accounts,num_settled_accounts
APP000043,885,5,1,267,1,60,1,3,204300.0,28.7,2,2
APP000044,802,2,2,28,0,0,2,3,366100.0,3.4,0,0
APP000045,653,3,3,104,4,180,4,6,942700.0,25.0,0,1
APP000046,701,3,2,53,1,30,2,4,285400.0,45.2,0,0
APP000047,814,1,1,0,0,0,0,0,1087900.0,10.5,0,0
APP000048,708,2,2,226,0,0,2,5,1396200.0,68.4,0,0
APP000049,635,3,1,46,0,0,3,4,819200.0,58.7,0,0
APP000050,759,8,1,26,0,0,2,4,154400.0,95.9,0,0
APP000051,666,5,3,62,2,120,4,6,8600.0,83.4,0,0
APP000052,654,1,1,51,1,30,2,6,823000.0,8.7,2,0
APP000053,741,4,0,25,0,0,4,5,97500.0,18.6,0,0
APP000054,756,6,1,17,3,90,1,2,252200.0,45.8,0,0
APP000055,798,4,1,3,3,60,0,3,63100.0,49.6,0,0
APP000056,726,2,2,129,0,0,3,5,213500.0,26.7,0,2
APP000057,685,3,0,24,1,30,2,5,239600.0,26.7,0,1
APP000058,741,4,0,53,0,0,3,5,609500.0,56.6,0,0
APP000059,649,2,2,58,3,120,1,1,362500.0,94.6,0,0
APP000060,856,3,3,94,2,60,1,2,584100.0,16.3,3,0
APP000061,725,5,0,176,1,30,2,3,486600.0,66.1,0,0
APP000062,692,8,3,61,2,90,5,6,315400.0,60.2,0,0
APP000063,632,1,1,121,0,0,1,2,424300.0,1.3,2,0
APP000064,626,2,2,43,1,30,2,3,84900.0,34.8,0,0
APP000065,679,2,2,2,0,0,3,6,796000.0,80.3,0,0
APP000066,622,3,3,84,3,90,3,5,115900.0,42.1,0,0
APP000067,721,4,1,42,3,180,2,4,837300.0,79.9,0,0
APP000068,554,3,1,30,1,90,4,6,264000.0,12.8,0,0
APP000069,614,3,0,14,1,60,2,6,147200.0,86.3,1,0
APP000070,684,2,2,40,0,0,1,3,427200.0,38.0,0,0
APP000071,781,3,1,76,0,0,3,4,1139900.0,78.6,0,0
APP000072,765,2,0,57,0,0,2,3,268900.0,96.8,0,0
APP000073,648,7,1,2,0,0,2,4,199500.0,66.2,1,0
APP000074,620,2,1,165,0,0,3,6,863400.0,46.8,0,0
APP000075,757,3,3,12,0,0,3,5,858600.0,97.2,0,0
APP000076,636,2,2,88,0,0,2,4,550000.0,0.5,0,0
APP000077,813,1,0,171,1,30,4,7,1099900.0,92.3,1,0
APP000078,725,3,3,43,0,0,3,4,645400.0,37.2,0,0
APP000079,805,2,1,18,2,30,4,4,515800.0,55.2,0,1
APP000080,565,3,1,28,5,30,2,4,181700.0,80.2,0,0
APP000081,726,6,2,17,0,0,3,6,35600.0,96.5,0,1
APP000082,579,4,0,2,0,0,5,5,172100.0,37.7,0,0
APP000083,683,2,1,19,1,60,0,0,153300.0,25.1,0,0
APP000084,674,4,4,12,5,60,3,4,672300.0,56.4,0,0
APP000085,702,3,3,92,3,90,0,2,569300.0,57.2,2,0
APP000086,837,1,1,16,0,0,1,4,375300.0,74.6,0,0
APP000087,755,3,3,92,1,60,3,5,117000.0,38.6,0,0
APP000088,767,2,2,32,1,90,2,4,741700.0,91.0,0,0
APP000089,623,4,0,46,0,0,0,3,1025500.0,73.0,0,0
APP000090,633,3,2,27,0,0,4,5,296000.0,56.9,0,0
APP000091,634,2,1,181,0,0,5,7,71100.0,71.4,0,0
APP000092,560,5,2,22,0,0,0,0,311600.0,26.3,2,0
APP000093,745,6,4,165,1,30,2,3,63600.0,90.6,0,0
APP000094,822,3,1,25,0,0,2,3,744100.0,83.2,1,0
APP000095,708,3,1,2,0,0,2,2,442400.0,88.4,0,0
APP000096,794,4,2,73,0,0,1,4,38700.0,77.3,0,0
APP000097,705,0,0,88,3,60,2,3,371500.0,47.4,0,0
APP000098,575,1,1,0,1,30,2,4,220200.0,95.4,1,0
APP000099,602,0,0,33,0,0,2,3,428600.0,36.4,0,0
APP000100,608,10,4,97,0,0,2,3,528800.0,75.2,0,0
APP000101,645,2,1,75,2,30,0,1,84000.0,50.6,0,0
APP000102,769,2,2,0,0,0,2,4,570000.0,45.1,0,0
APP000103,614,2,2,40,0,0,5,10,307900.0,86.4,0,0
APP000104,611,3,1,30,1,30,0,4,215800.0,38.4,0,0
APP000105,625,5,2,23,0,0,1,3,82700.0,44.6,2,0
APP000106,651,3,1,78,1,120,4,10,65100.0,54.4,0,0
APP000107,626,3,3,60,0,0,5,6,158600.0,39.0,0,0
APP000108,801,5,3,2,0,0,2,5,653600.0,37.5,0,0
APP000109,767,2,1,10,0,0,2,4,129400.0,56.1,0,0
APP000110,656,1,1,32,0,0,2,6,315500.0,19.8,0,0
APP000111,900,0,0,106,0,0,2,4,37000.0,69.4,0,0
APP000112,762,1,1,0,0,0,1,4,39700.0,9.9,0,0
APP000113,833,5,2,10,0,0,1,6,126500.0,30.8,0,0
APP000114,811,1,1,3,0,0,0,3,1024100.0,3.1,0,0
APP000115,844,2,2,32,1,30,5,7,253100.0,44.4,1,0
APP000116,581,5,0,48,0,0,3,5,708300.0,50.7,0,0
APP000117,731,4,2,23,2,90,4,7,255700.0,42.9,0,0
APP000118,787,3,3,74,0,0,1,2,749700.0,82.5,1,0
APP000119,636,5,2,47,0,0,1,4,439400.0,67.5,0,0
APP000120,675,6,3,79,1,30,1,6,203100.0,10.6,0,0
APP000121,715,4,4,54,5,90,1,4,1899200.0,4.2,0,0
APP000122,696,2,2,50,1,30,1,2,141400.0,50.7,0,2
APP000123,712,0,0,21,3,60,0,0,498700.0,64.1,0,0
APP000124,702,3,3,35,0,0,2,2,23000.0,76.2,0,0
APP000125,649,3,3,25,4,30,2,4,633000.0,99.3,0,0
APP000126,649,5,3,9,0,0,1,3,288800.0,26.5,0,1
APP000127,756,1,0,33,0,0,5,8,1087600.0,51.6,0,0
APP000128,675,6,1,169,1,60,0,4,842500.0,81.7,0,0
APP000129,650,1,1,11,1,30,2,6,189900.0,98.1,2,0
APP000130,719,4,3,165,3,30,1,1,323500.0,90.0,0,0
APP000131,715,2,0,30,3,90,0,2,896000.0,11.8,1,0
APP000132,734,4,3,13,0,0,2,6,1801100.0,19.9,0,0
APP000133,732,5,1,73,4,60,3,4,1701400.0,16.8,1,0
APP000134,695,3,3,100,0,0,2,2,819300.0,49.3,0,0
APP000135,537,5,2,155,0,0,4,6,602100.0,61.3,0,0
APP000136,725,1,1,41,0,0,1,3,6252900.0,74.5,0,0
APP000137,851,5,0,75,1,180,2,4,55000.0,46.1,0,1
APP000138,716,3,3,28,4,60,1,3,107900.0,30.3,0,2
APP000139,696,2,1,38,0,0,1,3,1572000.0,94.3,0,0
APP000140,736,2,1,122,2,60,1,2,246300.0,12.2,0,0
APP000141,747,4,0,89,0,0,3,5,785500.0,4.6,0,1
APP000142,685,3,3,90,0,0,5,7,224900.0,13.8,0,0
APP000143,681,3,3,9,1,60,6,8,133700.0,10.3,0,2
APP000144,819,2,1,1,2,60,3,7,356600.0,22.3,0,0
APP000145,603,1,1,17,3,90,3,3,847700.0,87.7,0,0
APP000146,556,2,0,5,0,0,0,3,243700.0,75.3,2,0
APP000147,698,2,2,11,1,90,2,3,249900.0,64.0,1,0
APP000148,672,4,4,18,1,30,1,2,563100.0,94.3,0,0
APP000149,714,1,1,93,0,0,2,8,961100.0,63.2,1,0
APP000150,665,2,2,65,0,0,1,3,2165100.0,85.6,0,0
APP000151,589,6,2,182,1,180,1,1,100100.0,82.5,0,0
APP000152,806,5,1,4,0,0,1,1,354600.0,79.0,0,0
APP000153,790,4,3,155,0,0,5,6,27100.0,44.7,0,1
APP000154,710,0,0,49,0,0,2,3,307300.0,25.1,0,0
APP000155,707,1,1,9,0,0,3,5,49700.0,69.7,0,0
APP000156,852,4,3,60,0,0,1,3,837000.0,5.5,0,0
APP000157,749,2,2,10,0,0,2,2,601200.0,28.0,0,0
APP000158,580,4,0,119,2,30,1,1,72700.0,43.8,0,0
APP000159,703,4,1,17,0,0,3,5,174400.0,38.0,1,0
APP000160,607,7,2,174,0,0,3,5,1843100.0,9.7,0,0
APP000161,638,4,3,5,2,60,2,5,82700.0,22.5,2,0
APP000162,741,5,1,10,0,0,5,5,24500.0,46.2,0,0
APP000163,634,4,1,10,0,0,0,1,661100.0,62.6,0,0
APP000164,736,1,1,107,1,60,6,7,647200.0,65.9,0,0
APP000165,707,1,1,15,0,0,2,4,39400.0,28.4,0,0
APP000166,706,3,3,122,0,0,8,10,401900.0,61.3,0,0
APP000167,859,6,3,24,3,60,3,4,1840900.0,1.8,0,1
APP000168,656,4,2,25,5,30,2,4,61700.0,36.7,0,0
APP000169,741,7,3,24,0,0,1,1,562700.0,55.9,0,0
APP000170,627,3,0,131,0,0,2,4,2311400.0,59.0,1,0
APP000171,543,3,2,30,0,0,3,5,68600.0,64.5,0,1
APP000172,822,1,1,11,5,30,4,8,345400.0,74.4,0,0
APP000173,764,4,2,93,1,120,2,5,392000.0,98.5,0,0
APP000174,807,4,1,8,2,30,4,6,838800.0,22.3,0,1
APP000175,604,2,0,35,0,0,1,2,874500.0,41.3,0,0
APP000176,705,3,2,111,1,30,2,4,361600.0,30.1,1,0
APP000177,776,4,2,35,0,0,2,6,72500.0,18.9,0,0
APP000178,539,2,2,136,1,60,1,2,27300.0,92.6,0,0
APP000179,611,2,2,1,4,120,3,5,545400.0,17.9,0,0
APP000180,569,1,0,100,0,0,0,2,171800.0,13.8,0,0
APP000181,755,4,1,12,0,0,1,2,639400.0,80.4,0,0
APP000182,791,4,2,48,1,60,0,2,21600.0,87.6,0,0
APP000183,764,3,2,61,0,0,1,2,589600.0,85.3,0,1
APP000184,727,5,2,42,1,90,2,4,1700.0,61.8,0,0
APP000185,805,3,1,0,0,0,1,2,385300.0,64.2,0,1
APP000186,688,3,0,40,0,0,1,3,149200.0,24.8,1,0
APP000187,755,7,3,10,0,0,1,3,127800.0,61.3,0,0
APP000188,653,1,1,31,0,0,1,3,14600.0,87.4,0,0
APP000189,712,3,1,17,2,180,0,0,643600.0,6.2,0,0
APP000190,676,7,1,91,0,0,1,3,104100.0,47.9,0,0
APP000191,739,5,3,18,0,0,0,2,541700.0,84.1,0,1
APP000192,710,3,1,26,2,60,0,2,1433400.0,15.7,0,0
APP000193,744,4,4,46,0,0,3,6,738500.0,26.6,0,2
APP000194,660,6,2,47,0,0,3,5,477500.0,30.3,0,0
APP000195,754,3,1,58,0,0,1,5,1606500.0,10.1,0,0
APP000196,672,1,0,37,0,0,1,6,353700.0,18.1,0,1
APP000197,621,2,2,21,1,60,2,7,361800.0,49.7,0,0
APP000198,694,5,2,14,0,0,0,0,720300.0,99.4,0,0
APP000199,820,3,2,3,0,0,1,5,882700.0,55.7,0,0
APP000200,627,2,1,55,1,30,1,5,91900.0,76.5,2,0
APP000201,594,2,2,31,0,0,3,4,2113000.0,60.1,3,0
APP000202,627,2,2,198,0,0,1,2,822100.0,89.5,0,0
APP000203,666,3,1,60,0,0,2,5,359700.0,98.7,0,0
APP000204,731,2,2,14,1,120,1,5,887700.0,18.4,0,0
APP000205,657,5,4,16,0,0,3,3,144500.0,63.2,0,0
APP000206,688,5,3,26,0,0,3,5,240400.0,28.5,0,0
APP000207,670,3,0,54,0,0,0,0,170000.0,88.8,0,0
APP000208,794,2,0,23,0,0,1,4,34700.0,88.6,0,0
APP000209,605,3,1,5,2,120,2,8,739200.0,1.6,0,0
APP000210,710,2,0,15,0,0,1,2,277400.0,65.0,0,0
APP000211,632,4,2,200,2,30,1,1,209300.0,10.4,0,0
APP000212,702,5,1,158,3,30,0,1,694300.0,22.8,0,0
APP000213,653,4,1,81,0,0,2,4,411900.0,69.6,0,0
APP000214,732,4,2,55,0,0,2,4,102200.0,66.9,1,0
APP000215,811,3,3,153,0,0,1,3,554900.0,67.4,0,0
APP000216,641,0,0,5,2,30,2,3,648300.0,57.6,0,0
APP000217,688,1,1,20,0,0,3,4,187700.0,80.0,0,0
APP000218,791,0,0,5,1,30,0,1,1016300.0,95.4,0,0
APP000219,693,2,1,103,0,0,2,3,410500.0,96.7,0,0
APP000220,893,0,0,159,4,30,2,5,8900.0,64.4,0,0
APP000221,714,2,1,34,1,30,1,2,595700.0,94.4,0,1
APP000222,829,5,3,48,0,0,3,6,95400.0,41.5,0,0
APP000223,641,3,3,25,0,0,2,3,216600.0,70.9,0,0
APP000224,784,3,2,185,2,30,2,5,30900.0,59.0,0,0
APP000225,733,1,1,47,0,0,2,3,16400.0,60.5,0,0
APP000226,746,5,3,13,0,0,0,1,21000.0,1.4,1,0
APP000227,846,5,0,2,0,0,2,3,491300.0,1.7,0,0
APP000228,793,3,2,38,0,0,3,8,553500.0,88.0,0,0
APP000229,678,2,1,38,0,0,2,8,1435800.0,85.4,0,0
APP000230,548,2,2,3,3,60,0,3,374900.0,76.6,0,0
APP000231,558,7,1,1,1,180,3,3,77500.0,66.1,0,0
APP000232,793,0,0,14,0,0,0,3,49400.0,99.8,0,0
APP000233,750,0,0,188,0,0,1,2,588300.0,48.4,1,0
APP000234,731,3,3,124,1,90,0,1,134800.0,12.4,0,0
APP000235,590,4,3,2,5,30,1,4,201800.0,39.2,0,0
APP000236,752,5,4,9,3,90,3,5,480900.0,61.2,0,0
APP000237,691,3,1,0,1,30,4,4,96300.0,2.0,0,0
APP000238,661,6,3,10,3,60,2,6,974300.0,31.1,0,0
APP000239,584,3,0,147,3,30,3,4,66400.0,50.9,0,1
APP000240,573,3,1,3,1,90,1,3,254600.0,84.1,0,0
APP000241,625,3,3,51,1,90,2,5,329500.0,83.6,1,0
APP000242,732,2,2,88,0,0,3,3,99600.0,19.1,0,0
APP000243,551,4,1,108,0,0,4,7,764800.0,17.2,0,0
APP000244,713,2,1,24,1,90,1,2,228300.0,97.2,0,0
APP000245,810,6,1,288,0,0,1,2,789700.0,6.8,0,0
APP000246,577,2,2,6,4,30,1,3,752000.0,17.8,0,0
APP000247,724,4,0,67,0,0,0,3,164700.0,72.3,0,0
APP000248,858,3,0,1,3,30,1,2,893000.0,19.3,0,0
APP000249,675,10,1,129,1,180,0,5,16200.0,32.0,0,0
APP000250,766,4,1,56,5,180,2,6,224400.0,18.3,0,0
APP000251,697,1,0,237,1,60,3,6,185300.0,15.6,1,0
APP000252,734,7,1,42,0,0,3,10,816300.0,53.3,0,0
APP000253,672,5,2,44,0,0,0,1,6200.0,7.2,0,0
APP000254,796,2,2,100,3,90,3,4,422300.0,54.3,0,0
APP000255,642,4,0,37,1,30,3,5,433600.0,32.6,0,0
APP000256,673,2,2,53,1,30,2,2,806700.0,73.2,0,0
APP000257,614,2,0,92,0,0,2,5,223700.0,13.6,0,0
APP000258,766,3,2,75,0,0,2,5,130700.0,54.8,0,0
APP000259,769,2,2,129,0,0,1,4,146700.0,50.5,0,0
APP000260,643,2,2,26,0,0,1,1,33000.0,16.0,0,0
APP000261,658,6,2,16,0,0,3,5,575000.0,53.0,2,0
APP000262,626,2,2,101,0,0,4,8,529800.0,78.6,0,0
APP000263,777,4,1,41,0,0,3,4,1132200.0,14.0,0,0
APP000264,667,1,1,50,0,0,1,3,528600.0,78.2,1,0
APP000265,680,2,1,55,0,0,1,1,874100.0,30.0,1,0
APP000266,643,1,1,49,0,0,0,3,1203400.0,51.5,0,0
APP000267,727,0,0,73,0,0,2,2,979600.0,52.9,0,0
APP000268,657,2,1,25,0,0,1,3,130900.0,53.0,0,0
APP000269,664,4,2,28,2,90,3,4,14100.0,4.9,0,1
APP000270,573,2,1,36,1,30,4,5,1729300.0,0.5,0,0
APP000271,629,2,1,174,0,0,0,1,91800.0,2.7,0,1
APP000272,685,2,0,8,0,0,1,1,72800.0,88.4,1,0
APP000273,621,1,1,74,1,180,3,4,285000.0,33.5,0,0
APP000274,705,7,2,17,0,0,2,3,307500.0,5.0,0,0
APP000275,706,2,1,112,0,0,1,6,15000.0,55.2,0,0
APP000276,754,1,1,9,1,30,5,9,70200.0,98.7,0,0
APP000277,793,4,0,197,1,60,2,4,448400.0,45.0,0,0
APP000278,704,3,1,37,0,0,1,2,273700.0,28.8,0,0
APP000279,697,4,3,80,0,0,0,4,1050100.0,64.0,0,0
APP000280,733,4,1,12,2,30,3,6,113400.0,40.5,0,0
APP000281,601,0,0,8,0,0,4,5,316900.0,73.2,0,1
APP000282,769,4,3,175,0,0,1,3,34700.0,19.2,0,0
APP000283,558,2,2,38,2,90,1,1,384600.0,44.0,0,0
APP000284,516,4,0,31,0,0,2,3,334800.0,13.9,2,0
APP000285,663,5,2,22,0,0,3,4,191600.0,40.9,3,0
APP000286,625,2,1,13,0,0,1,5,117800.0,95.5,0,0
APP000287,622,1,0,53,1,120,1,4,224400.0,64.7,0,0
APP000288,603,1,1,18,0,0,2,3,1000400.0,21.5,0,0
APP000289,542,4,1,10,0,0,1,4,268900.0,7.6,0,1
APP000290,768,5,0,135,3,30,3,8,9300.0,96.9,0,0
APP000291,704,2,1,57,0,0,3,6,275400.0,78.1,0,0
APP000292,568,4,1,41,0,0,2,5,140100.0,47.2,2,0
APP000293,662,5,3,116,1,30,1,3,633300.0,21.5,0,0
APP000294,739,2,2,54,2,60,2,5,524600.0,4.1,0,0
APP000295,657,2,2,47,0,0,2,2,2036900.0,80.6,0,0
APP000296,578,2,0,32,2,60,1,3,505000.0,66.6,0,0
APP000297,585,4,1,13,0,0,2,4,16500.0,10.2,0,0
APP000298,711,0,0,34,1,120,0,2,1024600.0,42.1,1,0
APP000299,697,4,3,65,0,0,1,2,1478700.0,7.2,0,0
APP000300,656,5,3,6,0,0,1,1,1008800.0,59.2,0,0
APP000301,580,1,1,43,3,30,2,5,385400.0,55.7,1,0
APP000302,751,1,1,284,0,0,3,5,733000.0,46.5,0,2
APP000303,655,0,0,38,0,0,1,3,30400.0,84.0,0,0
APP000304,725,3,2,10,0,0,3,6,420600.0,83.3,0,0
APP000305,652,0,0,226,0,0,2,5,181200.0,30.9,0,1
APP000306,848,5,4,14,0,0,2,5,459700.0,82.3,0,0
APP000307,853,1,1,82,2,60,2,5,255300.0,3.5,0,0
APP000308,665,3,0,68,1,120,1,3,1068900.0,28.3,0,0
APP000309,624,1,1,327,0,0,2,4,166700.0,59.4,0,1
APP000310,739,4,1,59,0,0,1,5,326800.0,23.3,1,0
APP000311,741,3,2,77,1,90,5,7,502500.0,44.1,0,0
APP000312,536,3,3,7,0,0,5,7,706900.0,27.7,0,1
APP000313,766,3,3,332,0,0,1,2,327000.0,91.6,0,0
APP000314,667,2,2,36,4,30,2,3,149700.0,98.2,0,0
APP000315,785,4,2,60,0,0,1,4,36500.0,16.5,1,0
APP000316,767,2,0,42,0,0,2,3,172000.0,80.9,0,0
APP000317,758,4,3,14,0,0,1,2,70600.0,55.6,0,0
APP000318,640,8,2,35,2,30,2,7,148900.0,99.6,0,0
APP000319,711,3,1,189,0,0,1,2,339000.0,7.6,0,2
APP000320,741,3,2,65,0,0,1,1,30400.0,35.7,2,0
APP000321,876,4,4,5,0,0,1,4,722100.0,6.1,0,0
APP000322,697,3,3,180,1,60,1,2,139200.0,70.7,0,0
APP000323,761,3,0,9,2,30,2,4,378400.0,63.2,0,0
APP000324,720,2,2,53,0,0,1,2,594000.0,53.0,1,0
APP000325,876,3,3,89,0,0,2,6,41000.0,85.5,0,0
APP000326,586,3,3,20,0,0,2,4,53400.0,86.2,0,0
APP000327,599,8,1,221,0,0,2,2,528100.0,65.6,0,0
APP000328,684,3,1,44,2,60,3,4,1722500.0,36.2,0,0
APP000329,734,2,2,156,0,0,3,4,1025100.0,60.4,0,0
APP000330,666,1,1,49,0,0,0,1,430400.0,83.5,0,2
APP000331,714,6,5,175,3,30,2,6,344000.0,56.0,0,0
APP000332,715,3,1,19,0,0,2,2,803000.0,4.3,0,0
APP000333,791,1,1,16,0,0,2,6,1011000.0,63.2,0,0
APP000334,738,0,0,35,2,120,0,2,562500.0,31.8,0,0
APP000335,634,5,0,24,0,0,2,5,851400.0,94.3,0,0
APP000336,711,2,1,53,0,0,1,4,660100.0,18.2,0,0
APP000337,764,1,1,36,0,0,3,6,857200.0,57.4,0,0
APP000338,600,3,1,46,0,0,4,4,208700.0,93.0,0,0
APP000339,621,3,0,107,0,0,0,1,383900.0,84.8,1,0
APP000340,705,3,2,163,0,0,4,6,1084000.0,83.4,0,0
APP000341,704,6,1,53,4,90,2,2,175300.0,45.0,0,0
APP000342,670,4,2,15,1,30,2,3,1599700.0,14.9,0,0
APP000343,642,3,2,69,1,30,3,8,783800.0,2.2,0,0
APP000344,683,4,4,190,0,0,1,3,968500.0,61.9,0,0
APP000345,686,2,1,237,1,90,0,1,966400.0,89.2,1,0
APP000346,743,3,3,31,1,30,2,3,103400.0,42.4,1,0
APP000347,583,2,1,59,0,0,3,3,155900.0,5.1,0,0
APP000348,727,3,2,73,0,0,1,2,71700.0,49.3,0,0
APP000349,798,3,3,149,0,0,2,2,153600.0,39.9,0,0
APP000350,713,2,2,78,2,30,3,5,528300.0,13.1,0,0
APP000351,703,2,2,55,1,30,2,2,106500.0,77.4,0,0
APP000352,626,1,1,4,0,0,5,6,756800.0,31.8,0,0
APP000353,745,6,0,42,0,0,0,4,260100.0,66.3,0,0
APP000354,688,7,1,54,1,30,2,5,278700.0,4.7,0,0
APP000355,743,3,1,16,2,30,1,4,107300.0,0.4,0,0
APP000356,546,3,0,41,0,0,1,3,113000.0,14.7,0,0
APP000357,723,4,3,80,1,60,2,7,879300.0,56.2,0,0
APP000358,717,0,0,17,0,0,2,3,673400.0,28.0,0,0
APP000359,717,2,2,3,0,0,1,3,726400.0,36.7,0,0
APP000360,670,1,1,145,0,0,3,3,99100.0,63.0,0,0
APP000361,760,3,2,26,0,0,3,4,159000.0,26.1,0,0
APP000362,771,7,4,33,0,0,2,5,433300.0,33.7,0,0
APP000363,661,3,1,182,1,90,0,0,648700.0,85.3,2,1
APP000364,668,3,1,16,0,0,3,6,1863000.0,17.1,0,0
APP000365,765,4,4,61,0,0,1,4,433700.0,36.0,0,0
APP000366,602,2,2,104,2,180,1,2,143400.0,13.4,0,0
APP000367,748,2,2,16,0,0,2,2,1049000.0,71.3,0,1
APP000368,806,5,2,43,3,60,2,4,74100.0,11.0,0,0
APP000369,754,2,2,29,0,0,2,2,508100.0,71.3,1,0
APP000370,700,1,1,9,0,0,0,4,105800.0,11.6,0,2
APP000371,668,2,2,41,0,0,5,7,29800.0,51.0,1,0
APP000372,750,3,1,144,0,0,1,3,115700.0,95.9,0,0
APP000373,694,0,0,4,0,0,1,2,37400.0,46.7,0,0
APP000374,728,3,0,36,5,60,2,6,945900.0,0.3,0,0
APP000375,646,2,1,44,3,30,3,5,20100.0,64.7,0,0
APP000376,780,2,1,29,0,0,1,1,484300.0,25.3,0,0
APP000377,746,2,2,9,0,0,6,9,643500.0,94.4,0,0
APP000378,712,2,2,67,5,30,2,4,33500.0,93.0,0,0
APP000379,795,3,3,56,0,0,2,2,36300.0,1.1,0,0
APP000380,708,2,0,20,1,180,2,7,219500.0,65.6,0,0
APP000381,637,4,4,5,1,30,3,7,358700.0,9.8,0,0
APP000382,600,2,2,34,0,0,2,4,330900.0,96.2,0,0
APP000383,788,1,1,42,0,0,2,6,160900.0,34.0,0,0
APP000384,724,3,1,0,0,0,4,5,83300.0,49.1,0,0
APP000385,714,5,3,8,0,0,3,4,243000.0,45.4,0,0
APP000386,690,4,2,13,1,30,1,2,419100.0,5.5,2,0
APP000387,720,1,1,44,1,30,1,5,194400.0,24.5,1,0
APP000388,728,6,4,43,1,90,0,6,495600.0,89.6,0,0
APP000389,672,6,2,25,1,60,0,2,1128700.0,69.9,0,0
APP000390,751,2,1,1,1,30,0,0,1299000.0,64.7,0,0
APP000391,722,1,1,11,0,0,3,5,2811600.0,46.4,0,0
APP000392,610,4,1,31,1,60,2,2,105500.0,96.0,0,0
APP000393,721,3,2,2,2,180,2,3,47400.0,65.5,0,0
APP000394,675,2,2,77,0,0,2,3,817500.0,74.1,0,0
APP000395,835,1,0,17,2,60,3,4,1583600.0,87.9,0,0
APP000396,746,0,0,0,0,0,2,4,564300.0,2.8,0,0
APP000397,758,6,0,143,0,0,1,1,844600.0,65.9,0,0
APP000398,762,3,2,34,1,30,3,4,78500.0,44.2,0,1
APP000399,666,2,2,8,0,0,0,1,1069200.0,75.1,0,0
APP000400,759,1,1,15,0,0,0,1,362800.0,39.6,0,0
APP000401,753,4,1,5,1,180,2,3,433800.0,96.5,2,0
APP000402,736,1,1,49,0,0,0,2,38700.0,66.0,1,0
APP000403,588,1,0,40,0,0,2,3,1498900.0,80.4,0,0
