applicant_id,avg_monthly_balance,balance_volatility,avg_monthly_spending,essential_spending_pct,discretionary_spending_pct,num_bounced_checks_12m,salary_credit_regularity,num_digital_txns_monthly,cash_withdrawal_pct,min_balance_breaches_12m,emi_bounce_count_12m
APP000069,35900.0,0.282,33800.0,51.6,48.4,0,97.4,29,24.4,0,0
APP000070,41700.0,0.64,10300.0,47.5,52.5,2,96.8,33,22.3,0,0
APP000071,85000.0,0.21,14300.0,57.5,42.5,0,88.0,22,37.8,2,0
APP000072,53100.0,0.524,16500.0,44.0,56.0,0,82.6,35,20.5,1,1
APP000073,55400.0,0.418,26000.0,69.0,31.0,0,73.4,41,28.9,1,0
APP000074,233900.0,0.05,47800.0,63.6,36.4,2,73.5,37,22.1,0,0
APP000075,96000.0,0.05,34300.0,44.3,55.7,1,75.2,30,16.1,5,0
APP000076,402300.0,0.135,121000.0,39.6,60.4,0,93.4,23,29.3,0,1
APP000077,14100.0,0.13,16600.0,30.7,69.3,0,70.9,33,39.6,1,0
APP000078,28600.0,0.114,9900.0,42.7,57.3,0,89.5,34,38.9,2,1
APP000079,55900.0,0.08,37900.0,51.9,48.1,0,95.4,36,24.4,0,0
APP000080,15500.0,0.05,9700.0,52.1,47.9,0,94.4,32,21.9,0,0
APP000081,57200.0,0.05,63600.0,41.4,58.6,0,81.0,26,23.9,1,0
APP000082,92100.0,0.418,25400.0,44.5,55.5,1,76.5,25,16.0,1,0
APP000083,62300.0,0.061,21200.0,50.0,50.0,0,91.3,34,5.9,1,0
APP000084,104200.0,0.05,85500.0,54.9,45.1,0,74.4,24,13.2,1,0
APP000085,140600.0,0.593,26300.0,56.3,43.7,0,89.6,33,32.2,1,0
APP000086,86200.0,0.05,28900.0,54.7,45.3,0,78.9,30,14.9,0,0
APP000087,39600.0,0.052,20000.0,58.9,41.1,3,78.6,24,24.6,3,0
APP000088,255600.0,0.992,41400.0,49.4,50.6,0,76.7,19,27.5,1,0
APP000089,24900.0,0.447,24300.0,49.4,50.6,0,95.4,18,26.5,1,0
APP000090,41000.0,0.308,7500.0,62.7,37.3,0,88.8,38,21.5,0,0
APP000091,85300.0,1.047,16800.0,53.0,47.0,0,86.1,27,8.4,2,0
APP000092,45700.0,0.05,38600.0,38.9,61.1,0,73.4,27,23.5,3,1
APP000093,44400.0,0.05,30000.0,58.5,41.5,2,76.7,30,24.1,2,0
APP000094,69600.0,0.05,13100.0,33.4,66.6,0,71.8,20,32.5,0,2
APP000095,54400.0,0.437,8700.0,68.6,31.4,0,80.2,27,26.5,0,0
APP000096,48500.0,0.516,15900.0,41.2,58.8,0,70.2,36,30.0,0,0
APP000097,9700.0,0.583,11500.0,69.7,30.3,2,93.2,25,32.8,1,0
APP000098,22200.0,0.313,18100.0,37.8,62.2,0,82.4,23,16.6,3,0
APP000099,58900.0,0.05,27100.0,42.7,57.3,0,83.4,23,16.6,0,1
APP000100,40400.0,0.108,19400.0,36.0,64.0,0,99.6,30,8.1,0,0
APP000101,74800.0,0.355,22800.0,44.7,55.3,0,78.9,24,23.8,0,0
APP000102,130700.0,0.485,89300.0,68.7,31.3,2,95.2,30,33.3,4,0
APP000103,80500.0,0.357,25300.0,65.8,34.2,0,75.5,46,28.7,0,0
APP000104,27400.0,0.066,15000.0,68.8,31.2,0,87.9,43,27.3,1,0
APP000105,260400.0,0.335,55900.0,66.0,34.0,2,71.6,26,18.0,0,0
APP000106,37800.0,0.248,29900.0,34.9,65.1,0,72.1,30,12.8,2,0
APP000107,115000.0,0.187,39500.0,45.4,54.6,0,76.4,32,7.3,0,0
APP000108,64400.0,0.197,27400.0,36.3,63.7,1,76.8,27,20.0,1,0
APP000109,85800.0,0.467,22400.0,59.2,40.8,0,87.7,43,16.0,1,0
APP000110,44600.0,0.304,30600.0,49.4,50.6,0,83.0,17,21.7,2,0
APP000111,40100.0,0.283,17800.0,34.5,65.5,1,80.6,27,16.9,0,1
APP000112,60200.0,0.05,68000.0,46.9,53.1,0,95.2,28,32.4,0,3
APP000113,26400.0,0.05,21800.0,48.3,51.7,0,83.3,37,11.6,1,1
APP000114,10700.0,1.079,6800.0,67.0,33.0,4,93.0,31,26.4,2,0
APP000115,52800.0,0.25,22400.0,58.5,41.5,2,92.9,28,13.7,0,0
APP000116,206500.0,0.298,76400.0,65.6,34.4,0,72.3,35,28.4,0,0
APP000117,33500.0,0.38,8000.0,42.7,57.3,0,73.3,30,20.1,0,2
APP000118,107300.0,0.071,28500.0,39.9,60.1,0,76.7,32,39.3,1,0
APP000119,7300.0,0.235,7200.0,63.2,36.8,0,74.4,34,16.1,3,1
APP000120,41900.0,0.161,13100.0,55.2,44.8,0,90.1,31,30.1,0,1
APP000121,56700.0,0.444,20800.0,68.1,31.9,0,98.3,26,26.9,2,4
APP000122,6700.0,0.086,8000.0,54.4,45.6,0,74.4,26,24.2,0,1
APP000123,101000.0,0.227,29500.0,31.7,68.3,2,76.7,23,5.6,1,0
APP000124,134900.0,0.147,33900.0,44.6,55.4,0,83.1,31,5.3,2,0
APP000125,22200.0,0.635,9400.0,49.2,50.8,2,96.2,34,31.1,1,0
APP000126,293800.0,0.336,53500.0,34.2,65.8,0,92.5,35,37.4,1,1
APP000127,122700.0,0.394,29200.0,63.6,36.4,0,79.9,34,10.2,2,2
APP000128,70000.0,0.06,26800.0,49.5,50.5,0,92.1,24,7.5,1,1
APP000129,15500.0,0.449,4100.0,40.5,59.5,0,87.3,20,7.0,1,0
APP000130,66400.0,0.669,18100.0,66.9,33.1,0,73.5,29,18.3,1,0
APP000131,98100.0,0.38,20000.0,51.1,48.9,1,93.3,23,29.9,0,1
APP000132,17600.0,0.19,7900.0,45.2,54.8,0,98.0,27,25.9,0,1
APP000133,69200.0,0.1,21700.0,33.3,66.7,0,89.6,32,29.5,1,0
APP000134,68600.0,0.054,13400.0,64.8,35.2,0,73.3,30,26.5,1,0
APP000135,103900.0,0.05,12800.0,51.4,48.6,0,72.5,28,27.0,1,1
APP000136,87400.0,0.528,20000.0,35.6,64.4,0,93.9,38,13.4,0,0
APP000137,90600.0,0.091,20200.0,41.5,58.5,0,95.5,27,19.5,0,0
APP000138,44600.0,0.213,34800.0,53.0,47.0,0,79.5,29,14.5,0,1
APP000139,43800.0,0.109,13600.0,38.5,61.5,0,88.9,29,11.8,1,0
APP000140,51300.0,0.309,24800.0,31.9,68.1,2,97.2,33,31.0,0,0
APP000141,287000.0,0.05,100600.0,59.3,40.7,0,98.5,24,17.1,1,1
APP000142,140300.0,0.218,56300.0,41.6,58.4,0,84.0,29,18.1,0,0
APP000143,42600.0,0.054,16300.0,69.4,30.6,0,73.5,38,11.3,0,0
APP000144,50200.0,0.68,10600.0,30.9,69.1,0,82.5,27,22.5,1,0
APP000145,91000.0,0.746,15800.0,48.7,51.3,1,80.2,21,17.7,0,0
APP000146,63900.0,0.068,20100.0,52.4,47.6,2,70.3,28,10.2,1,0
APP000147,106600.0,0.085,35800.0,34.6,65.4,0,87.4,27,35.7,1,0
APP000148,352000.0,0.545,92500.0,63.0,37.0,0,76.9,35,5.4,1,2
APP000149,68400.0,0.05,29900.0,66.9,33.1,0,75.9,27,7.4,1,0
APP000150,99000.0,0.189,31800.0,52.8,47.2,0,79.7,30,29.6,2,1
APP000151,420100.0,0.05,79900.0,51.6,48.4,0,97.1,42,38.3,1,0
APP000152,131200.0,0.278,46600.0,45.3,54.7,1,81.5,25,13.6,0,0
APP000153,62600.0,0.309,27500.0,56.6,43.4,0,79.7,24,12.8,1,1
APP000154,241500.0,0.471,77500.0,65.3,34.7,0,87.1,28,19.1,1,0
APP000155,132400.0,0.107,30000.0,31.4,68.6,0,80.9,21,38.7,0,3
APP000156,83500.0,0.519,20300.0,41.0,59.0,0,82.4,33,8.4,1,1
APP000157,37800.0,0.44,38800.0,68.5,31.5,0,84.4,22,37.2,2,0
APP000158,168300.0,0.267,48400.0,44.5,55.5,0,73.7,39,14.6,1,4
APP000159,136400.0,0.05,52000.0,44.3,55.7,0,76.9,25,35.6,1,0
APP000160,20000.0,0.122,6800.0,33.2,66.8,0,72.4,35,32.1,0,2
APP000161,19400.0,0.124,5000.0,46.4,53.6,1,70.3,28,29.8,3,1
APP000162,11500.0,0.507,6700.0,35.3,64.7,3,79.2,40,26.9,0,2
APP000163,37900.0,1.455,7700.0,55.2,44.8,3,80.5,32,26.9,0,0
APP000164,12400.0,0.119,12500.0,52.6,47.4,0,75.6,38,36.0,0,0
APP000165,95800.0,0.254,11700.0,62.8,37.2,0,79.6,30,33.2,1,0
APP000166,74200.0,0.325,17100.0,46.9,53.1,4,89.5,22,32.1,2,0
APP000167,222200.0,0.05,29700.0,43.8,56.2,1,76.4,36,38.4,2,0
APP000168,46000.0,0.446,20600.0,43.3,56.7,0,78.8,40,35.8,0,0
APP000169,60200.0,0.308,59800.0,67.3,32.7,0,91.6,34,5.3,2,0
APP000170,25500.0,0.248,23600.0,39.9,60.1,1,96.1,37,15.9,0,0
APP000171,83100.0,0.505,15300.0,60.6,39.4,0,96.5,18,17.5,1,0
APP000172,66200.0,0.483,27700.0,42.7,57.3,1,77.1,23,29.2,0,0
APP000173,43600.0,0.087,8900.0,47.9,52.1,0,93.8,33,34.4,0,0
APP000174,177700.0,0.105,53000.0,64.2,35.8,0,81.7,28,21.1,2,1
APP000175,56000.0,0.05,15100.0,45.9,54.1,0,73.9,27,18.7,1,0
APP000176,40400.0,0.096,36000.0,35.8,64.2,0,88.3,18,27.1,3,1
APP000177,69400.0,0.076,36200.0,63.2,36.8,2,75.1,22,11.6,1,0
APP000178,127500.0,0.559,23100.0,36.7,63.3,0,89.0,31,30.8,1,0
APP000179,56800.0,0.478,32900.0,45.5,54.5,2,73.0,33,39.2,1,0
APP000180,181500.0,0.304,34300.0,34.8,65.2,0,92.9,29,25.1,0,0
APP000181,36600.0,1.837,13500.0,33.6,66.4,1,90.0,27,32.2,3,1
APP000182,91300.0,0.05,39500.0,69.4,30.6,0,73.4,22,14.4,2,0
APP000183,191100.0,0.403,51500.0,52.0,48.0,0,96.4,33,25.7,1,0
APP000184,47300.0,0.659,12300.0,51.5,48.5,0,84.8,20,12.5,0,0
APP000185,88000.0,0.05,26600.0,64.1,35.9,1,70.7,25,22.5,2,0
APP000186,70900.0,0.226,23000.0,49.7,50.3,1,81.5,26,16.7,0,0
APP000187,122900.0,0.469,17100.0,41.2,58.8,0,71.3,39,24.3,0,0
APP000188,102300.0,0.707,25000.0,52.3,47.7,4,83.4,30,20.0,1,3
APP000189,64400.0,0.054,38000.0,30.1,69.9,0,95.0,23,23.7,0,0
APP000190,32800.0,0.119,9100.0,30.1,69.9,1,97.8,26,21.0,1,1
APP000191,171200.0,0.23,53400.0,48.4,51.6,0,99.6,23,15.1,2,0
APP000192,134200.0,0.444,60600.0,31.6,68.4,0,98.8,24,26.2,1,0
APP000193,194000.0,0.248,32900.0,53.2,46.8,1,77.9,25,27.8,1,0
APP000194,27300.0,0.061,26200.0,67.5,32.5,2,83.9,32,33.5,1,1
APP000195,193500.0,0.098,66300.0,49.6,50.4,0,93.4,38,23.0,0,1
APP000196,39600.0,0.054,27400.0,56.8,43.2,0,74.3,33,23.0,0,0
APP000197,57800.0,0.447,24000.0,60.0,40.0,1,89.7,34,39.3,1,0
APP000198,14200.0,0.261,14000.0,52.3,47.7,0,96.2,28,35.0,1,1
APP000199,115800.0,0.402,19600.0,58.0,42.0,0,78.6,38,26.2,1,3
APP000200,29100.0,0.261,21400.0,69.2,30.8,0,98.6,36,9.5,0,0
APP000201,173100.0,0.475,38600.0,67.3,32.7,0,80.9,33,10.9,1,0
APP000202,34200.0,0.126,18900.0,40.2,59.8,0,97.4,40,36.9,0,0
APP000203,62000.0,0.242,20800.0,59.0,41.0,0,84.9,31,23.8,0,0
APP000204,42100.0,0.064,37300.0,34.7,65.3,0,79.7,20,14.0,0,0
APP000205,240100.0,0.479,39600.0,43.5,56.5,0,81.8,25,19.6,2,1
APP000206,164100.0,1.01,26500.0,38.6,61.4,0,94.8,24,7.1,1,0
APP000207,40100.0,0.05,16500.0,51.1,48.9,0,80.2,28,27.9,0,0
APP000208,166000.0,0.36,51100.0,55.4,44.6,2,70.6,26,27.6,1,0
APP000209,137400.0,0.157,34300.0,52.7,47.3,0,87.2,39,12.5,1,0
APP000210,37600.0,0.553,21400.0,43.9,56.1,0,75.5,31,9.4,1,0
APP000211,99200.0,0.05,31000.0,48.3,51.7,0,94.7,23,6.6,1,0
APP000212,128400.0,0.185,30700.0,63.0,37.0,0,87.5,29,6.6,0,0
APP000213,146600.0,0.276,33700.0,50.8,49.2,0,98.4,23,34.2,1,0
APP000214,62000.0,0.05,18300.0,31.4,68.6,1,96.8,29,19.4,0,0
APP000215,76100.0,0.36,34200.0,39.9,60.1,0,73.7,20,20.5,1,1
APP000216,65100.0,0.69,20000.0,60.6,39.4,1,85.2,34,16.6,2,0
APP000217,52700.0,0.333,21200.0,34.0,66.0,0,82.3,21,32.2,2,0
APP000218,81700.0,0.457,37700.0,42.9,57.1,0,82.0,32,22.9,1,0
APP000219,37200.0,0.17,23500.0,40.3,59.7,0,90.5,33,35.0,2,0
APP000220,89600.0,0.062,27200.0,49.8,50.2,0,88.2,29,19.2,0,0
APP000221,269500.0,0.299,39100.0,64.1,35.9,0,94.9,23,8.6,0,1
APP000222,28600.0,1.062,33700.0,46.1,53.9,1,85.1,39,13.9,0,0
APP000223,95400.0,0.345,33600.0,66.9,33.1,1,90.9,21,30.3,0,0
APP000224,47400.0,0.554,38900.0,59.6,40.4,0,99.5,30,27.9,3,1
APP000225,70900.0,0.227,24700.0,37.8,62.2,1,75.0,30,5.8,1,0
APP000226,108800.0,0.353,27900.0,38.0,62.0,0,81.8,29,27.9,2,0
APP000227,63500.0,0.5,29300.0,44.5,55.5,0,73.2,24,5.6,1,3
APP000228,125300.0,0.183,24600.0,30.2,69.8,0,70.5,29,14.3,2,0
APP000229,81000.0,0.276,27100.0,56.1,43.9,0,93.2,38,10.6,1,0
APP000230,186700.0,0.422,39700.0,59.9,40.1,0,72.0,32,8.8,0,0
APP000231,55400.0,0.05,8300.0,37.2,62.8,1,95.7,30,26.8,0,0
APP000232,61700.0,0.415,25100.0,63.5,36.5,0,76.0,41,9.7,3,0
APP000233,64400.0,1.232,20100.0,66.0,34.0,2,76.9,41,25.1,1,0
APP000234,244900.0,0.469,37200.0,38.3,61.7,1,91.5,31,22.7,2,0
APP000235,33900.0,0.05,21900.0,68.6,31.4,0,80.0,26,8.3,1,1
APP000236,112600.0,0.134,38300.0,54.0,46.0,0,95.8,34,27.8,0,0
APP000237,152400.0,0.48,29500.0,37.7,62.3,0,83.7,19,33.0,0,0
APP000238,72400.0,0.322,23400.0,39.5,60.5,0,82.5,30,8.2,3,1
APP000239,60600.0,0.05,11700.0,30.5,69.5,0,89.6,25,10.5,1,0
APP000240,66000.0,0.371,19400.0,44.3,55.7,0,86.1,28,13.1,1,0
APP000241,30000.0,0.063,4900.0,41.2,58.8,0,94.9,17,6.2,1,0
APP000242,184700.0,0.088,40000.0,48.5,51.5,0,78.4,33,5.5,2,2
APP000243,198500.0,0.056,54200.0,64.9,35.1,0,70.5,28,25.0,1,0
APP000244,48800.0,0.203,13200.0,67.0,33.0,0,94.8,30,15.2,1,0
APP000245,31200.0,0.201,22100.0,63.5,36.5,0,95.0,36,33.2,4,0
APP000246,21100.0,0.216,16200.0,69.9,30.1,2,72.0,30,12.3,0,0
APP000247,46800.0,0.259,11300.0,40.7,59.3,0,98.2,35,11.8,2,0
APP000248,18700.0,0.141,7800.0,38.4,61.6,1,73.4,42,23.5,1,0
APP000249,50800.0,0.073,21600.0,42.4,57.6,0,87.2,26,38.1,0,0
APP000250,28800.0,0.222,14900.0,31.9,68.1,1,89.2,30,38.4,1,0
APP000251,117300.0,0.175,34100.0,35.7,64.3,0,81.7,36,34.8,1,3
APP000252,74200.0,0.201,10200.0,46.9,53.1,0,93.7,29,15.2,2,0
APP000253,17700.0,0.375,6900.0,48.2,51.8,1,81.2,22,30.6,1,1
APP000254,32700.0,0.544,16200.0,42.6,57.4,2,72.8,33,19.2,1,0
APP000255,8600.0,1.008,4100.0,54.0,46.0,0,92.2,21,28.5,1,0
APP000256,66700.0,0.05,38300.0,38.4,61.6,0,93.9,23,33.3,1,1
APP000257,321700.0,0.05,59100.0,30.7,69.3,0,80.5,28,33.7,1,2
APP000258,72700.0,0.056,29000.0,42.4,57.6,0,85.4,33,17.6,1,0
APP000259,156400.0,0.71,64900.0,33.1,66.9,0,87.9,39,12.0,0,3
APP000260,97800.0,0.05,37900.0,35.3,64.7,0,79.5,42,9.9,0,1
APP000261,36900.0,0.45,21300.0,36.5,63.5,0,95.5,31,29.3,0,0
APP000262,53200.0,0.052,22400.0,32.0,68.0,0,86.6,30,24.9,0,2
APP000263,38100.0,0.347,22400.0,33.1,66.9,0,88.3,38,15.6,2,1
APP000264,50800.0,0.05,12300.0,65.1,34.9,2,88.0,28,39.2,0,1
APP000265,85600.0,0.05,25200.0,61.0,39.0,1,93.4,32,9.6,2,0
APP000266,38400.0,0.109,11200.0,31.4,68.6,1,83.9,28,39.9,2,0
APP000267,155100.0,0.222,41500.0,55.4,44.6,4,88.4,33,28.6,0,0
APP000268,85600.0,0.63,15600.0,68.3,31.7,2,86.9,30,16.3,0,0
APP000269,90700.0,1.324,14800.0,38.5,61.5,0,76.5,18,39.2,1,0
APP000270,73400.0,0.117,14000.0,56.9,43.1,4,95.1,33,26.0,1,0
APP000271,42500.0,0.142,22100.0,48.3,51.7,0,75.9,39,27.5,0,0
APP000272,60400.0,0.058,24500.0,34.9,65.1,0,79.4,31,15.7,1,1
APP000273,59000.0,0.05,21500.0,69.3,30.7,2,73.3,33,25.9,0,0
APP000274,187400.0,0.428,30800.0,62.6,37.4,1,93.6,33,7.6,4,0
APP000275,160200.0,0.156,22600.0,52.5,47.5,0,83.9,25,30.5,2,0
APP000276,158200.0,0.227,30600.0,60.9,39.1,0,82.1,31,26.7,1,1
APP000277,84000.0,0.05,23000.0,40.9,59.1,1,76.6,33,23.5,1,0
APP000278,23800.0,0.277,11600.0,48.4,51.6,3,80.2,27,7.5,0,0
APP000279,70500.0,0.055,11000.0,60.2,39.8,0,99.1,25,13.3,1,0
APP000280,61000.0,0.347,18500.0,32.7,67.3,0,93.2,24,39.3,0,2
APP000281,85700.0,0.537,36400.0,49.8,50.2,0,83.1,34,38.4,0,1
APP000282,5600.0,0.087,7100.0,45.3,54.7,0,78.4,30,31.8,4,0
APP000283,31600.0,0.19,40000.0,64.5,35.5,0,71.5,38,5.9,0,1
APP000284,64900.0,0.274,36200.0,64.9,35.1,1,77.3,31,26.4,0,0
APP000285,67000.0,0.448,12100.0,42.6,57.4,2,86.0,39,33.3,1,1
APP000286,160400.0,0.656,51700.0,39.2,60.8,1,86.8,31,7.5,6,1
APP000287,84800.0,0.878,33200.0,33.7,66.3,2,92.3,32,13.9,3,1
APP000288,124900.0,0.133,33600.0,41.3,58.7,0,70.5,23,28.0,0,0
APP000289,149100.0,1.036,40800.0,51.8,48.2,0,71.9,25,37.7,1,0
APP000290,132400.0,0.053,24600.0,60.2,39.8,0,72.2,25,11.2,1,0
APP000291,14900.0,0.271,10100.0,30.5,69.5,0,95.8,24,14.9,0,0
APP000292,67800.0,0.262,32700.0,59.3,40.7,0,86.5,33,23.3,1,0
APP000293,37600.0,0.459,23500.0,36.9,63.1,1,92.5,25,36.7,1,0
APP000294,34200.0,0.372,16300.0,30.9,69.1,0,88.2,25,31.4,3,0
APP000295,126300.0,0.101,19500.0,51.4,48.6,0,72.9,26,11.5,3,0
APP000296,90100.0,0.298,15500.0,31.4,68.6,0,86.8,31,21.7,0,0
APP000297,292300.0,0.467,63000.0,37.7,62.3,0,89.3,25,28.5,0,1
APP000298,139400.0,0.602,40400.0,51.6,48.4,0,84.3,31,19.5,1,3
APP000299,63500.0,0.05,26700.0,35.6,64.4,0,80.2,22,6.9,0,0
APP000300,98500.0,0.511,29300.0,40.9,59.1,5,86.8,23,29.0,1,0
APP000301,88300.0,0.056,19900.0,41.8,58.2,0,72.5,29,14.5,0,0
APP000302,71900.0,0.172,13700.0,39.4,60.6,1,94.1,34,19.3,1,0
APP000303,11000.0,1.097,12000.0,33.9,66.1,0,81.1,28,37.3,1,0
APP000304,87800.0,0.05,28700.0,59.1,40.9,0,75.5,31,7.6,1,0
APP000305,40800.0,0.293,5800.0,34.0,66.0,1,96.9,25,37.4,2,1
APP000306,386100.0,0.381,62900.0,31.1,68.9,0,87.9,25,18.8,2,0
APP000307,36800.0,0.376,21900.0,49.6,50.4,0,70.2,28,12.4,1,0
APP000308,47700.0,0.572,16800.0,47.2,52.8,0,82.1,26,31.0,0,0
APP000309,63700.0,0.433,14300.0,32.5,67.5,0,72.3,24,14.4,1,0
APP000310,293700.0,0.072,88900.0,57.8,42.2,1,87.9,32,9.7,2,0
APP000311,145100.0,0.05,30900.0,50.4,49.6,0,87.0,25,14.4,1,0
APP000312,112500.0,0.089,22400.0,40.5,59.5,0,90.2,35,30.3,3,0
APP000313,32700.0,0.502,35800.0,39.4,60.6,1,97.9,36,22.8,0,0
APP000314,94400.0,0.624,24100.0,35.3,64.7,3,79.0,27,14.4,1,0
APP000315,90900.0,0.05,23400.0,44.9,55.1,0,90.8,29,19.5,0,1
APP000316,69300.0,0.29,11600.0,39.7,60.3,0,92.0,30,39.8,0,0
APP000317,83100.0,1.624,19200.0,51.6,48.4,0,91.2,31,36.5,0,2
APP000318,79100.0,0.072,32900.0,68.4,31.6,0,91.1,33,38.1,0,1
APP000319,29300.0,0.298,7300.0,43.6,56.4,0,97.9,24,12.0,0,0
