applicant_id,application_date,gender,age,education,marital_status,dependents,residence_type,years_at_current_residence,city,employment_type,industry,annual_income,years_employed,years_with_current_employer,loan_purpose,loan_amount_requested,loan_tenure_months,interest_rate,credit_score,num_credit_accounts,num_active_accounts,credit_history_months,num_delinquent_accounts,max_dpd_last_12m,num_enquiries_6m,num_enquiries_12m,total_outstanding_debt,secured_loan_percentage,num_written_off_accounts,num_settled_accounts,avg_monthly_balance,balance_volatility,avg_monthly_spending,essential_spending_pct,discretionary_spending_pct,num_bounced_checks_12m,salary_credit_regularity,num_digital_txns_monthly,cash_withdrawal_pct,min_balance_breaches_12m,emi_bounce_count_12m,debt_to_income_ratio,loan_to_income_ratio,credit_utilization,estimated_monthly_emi,emi_to_income_ratio,savings_rate,account_age_factor,default,default_probability,annual_income_standardized,avg_monthly_balance_standardized,avg_monthly_spending_standardized,loan_amount_requested_log,total_outstanding_debt_log,estimated_monthly_emi_log,loan_amount_requested_normalized,total_outstanding_debt_normalized,estimated_monthly_emi_normalized,employment_type_normalized,is_salaried,is_self_employed,is_business_owner,employment_stability_score,loan_purpose_normalized,is_secured_loan,loan_risk_category,loan_risk_score,education_normalized,education_score,marital_status_normalized,is_married,residence_type_normalized,is_home_owner,gender_normalized,is_male
APP000011,2025-02-10,Male,38.0,Bachelor,Single,2.0,Owned,1.0,Kolkata,Salaried,IT/Software,516000.0,13.0,10.0,Auto Loan,1192000.0,36.0,9.44,715.0,2.0,2.0,155.0,3.0,30.0,3.0,5.0,443900.0,82.3,0.0,0.0,121000.0,0.338,30000.0,39.5,60.5,1.0,80.0,38.0,35.8,2.0,0.0,0.86,2.31,0.355,38200.0,0.887,2.819,12.9,1,0.2389437984496123,0.07042146669350344,0.49900727874787887,0.16650759304106635,13.991143965533254,13.003356843579219,10.5506169722625,0.07353215864516532,0.07099106014809128,0.10157096424702058,SALARIED,1,0,0,5,AUTO_LOAN,1,LOW_RISK,1,BACHELOR,3,SINGLE,0,OWNED,1,MALE,1
APP000012,2025-09-11,Female,40.0,Bachelor,Divorced,2.0,Owned,23.0,Pune,Salaried,Manufacturing,483000.0,7.0,7.0,Auto Loan,1901000.0,36.0,9.4,761.0,3.0,1.0,30.0,1.0,90.0,3.0,5.0,1416100.0,50.9,0.0,0.0,136000.0,0.63,36000.0,69.3,30.7,1.0,99.4,27.0,29.8,2.0,2.0,2.932,3.936,0.182,60800.0,1.511,3.371,2.5,0,0.31125,-0.04097819779456585,0.7210863710174491,0.5031926462026605,14.457891147509354,14.16341787837572,11.015361515187424,0.1176763588817633,0.22647091749428266,0.16278439869989164,SALARIED,1,0,0,5,AUTO_LOAN,1,LOW_RISK,1,BACHELOR,3,DIVORCED,0,OWNED,1,FEMALE,0
APP000013,2025-11-11,Female,32.0,Master,Married,2.0,Rented,1.0,Bangalore,Business Owner,Banking/Finance,528000.0,7.0,1.0,Business Loan,1856000.0,36.0,12.47,742.0,0.0,0.0,105.0,1.0,30.0,4.0,4.0,902500.0,60.5,0.0,0.0,54000.0,0.405,37000.0,45.7,54.3,0.0,80.6,26.0,28.9,3.0,0.0,1.709,3.515,0.266,62100.0,1.411,1.234,8.8,1,0.1861666666666666,0.11093043559825591,-0.4929460000562015,0.5593068217295929,14.43393473112124,13.7129250772218,11.036517370851499,0.11487454081314988,0.14433302947432392,0.16630552546045502,BUSINESS_OWNER,0,0,1,4,BUSINESS_LOAN,0,MEDIUM_RISK,2,MASTER,4,MARRIED,1,RENTED,0,FEMALE,0
APP000014,2025-09-29,Male,40.0,PhD,Divorced,3.0,Rented,0.0,Mumbai,Self-Employed,IT/Software,1175000.0,0.0,0.0,Education Loan,2041000.0,60.0,8.6,663.0,1.0,1.0,25.0,1.0,90.0,2.0,3.0,312300.0,87.4,0.0,0.0,129000.0,0.05,73000.0,50.8,49.2,0.0,86.9,21.0,21.7,1.0,2.0,0.266,1.737,0.656,42000.0,0.429,1.319,2.1,0,0.27925,2.29503900904616,0.6174494612916497,2.579417140699158,14.528950931747765,12.651722745315356,10.645448706505872,0.12639312620633833,0.04994482560092117,0.111863488624052,SELF_EMPLOYED,0,1,0,3,EDUCATION_LOAN,0,MEDIUM_RISK,2,PHD,5,DIVORCED,0,RENTED,0,MALE,1
APP000015,2025-05-18,Male,31.0,Bachelor,Married,1.0,Mortgaged,0.0,Hyderabad,Salaried,IT/Software,405000.0,0.0,0.0,Home Loan,3035000.0,240.0,7.87,800.0,3.0,3.0,157.0,0.0,0.0,0.0,2.0,61200.0,76.3,0.0,0.0,108000.0,0.423,16000.0,34.7,65.3,0.0,82.1,35.0,25.5,0.0,0.0,0.151,7.494,0.314,25100.0,0.745,3.212,13.1,1,0.0249999999999999,-0.3042864956754569,0.3065387321142513,-0.6190908643359867,14.925722311964973,11.021918808236205,10.130662964963708,0.18828217421082125,0.009787458619200691,0.06608884073672806,SALARIED,1,0,0,5,HOME_LOAN,1,LOW_RISK,1,BACHELOR,3,MARRIED,1,MORTGAGED,1,MALE,1
APP000016,2025-02-14,Male,35.0,High School,Married,0.0,Rented,11.0,Ahmedabad,Salaried,Manufacturing,430000.0,1.0,1.0,Personal Loan,1256000.0,48.0,10.85,699.0,4.0,3.0,109.0,0.0,0.0,1.0,4.0,86400.0,93.4,0.0,0.0,25000.0,0.243,30000.0,46.0,54.0,1.0,92.8,30.0,8.2,1.0,0.0,0.201,2.921,0.237,32400.0,0.903,0.687,9.1,0,0.02,-0.2198928104572226,-0.9222989117773706,0.16650759304106635,14.043443422188307,11.366754528799243,10.385944565501662,0.07751696656497106,0.013817588638871564,0.08586132177681473,SALARIED,1,0,0,5,PERSONAL_LOAN,0,MEDIUM_RISK,2,HIGH_SCHOOL,2,MARRIED,1,RENTED,0,MALE,1
APP000017,2025-09-15,Male,32.0,Master,Married,1.0,Rented,5.0,Chennai,Salaried,Banking/Finance,527000.0,4.0,0.0,Business Loan,2508000.0,120.0,15.77,654.0,5.0,1.0,13.0,1.0,30.0,4.0,6.0,125500.0,26.1,0.0,0.0,61000.0,0.302,22000.0,37.5,62.5,0.0,81.1,26.0,35.3,1.0,0.0,0.238,4.759,0.694,41700.0,0.948,1.394,1.1,0,0.1681666666666666,0.10755468818952654,-0.38930909033040206,-0.2824058111743925,14.734996579458953,11.74006900564972,10.638280388314705,0.15546977149617086,0.020070687201138672,0.11105092091007583,SALARIED,1,0,0,5,BUSINESS_LOAN,0,MEDIUM_RISK,2,MASTER,4,MARRIED,1,RENTED,0,MALE,1
APP000018,2025-06-19,Male,30.0,Bachelor,Single,3.0,Rented,7.0,Chennai,Salaried,Government,287000.0,11.0,0.0,Auto Loan,729000.0,48.0,10.49,701.0,3.0,1.0,40.0,1.0,30.0,1.0,4.0,58800.0,8.4,0.0,0.0,72000.0,0.586,21000.0,57.0,43.0,0.0,86.5,33.0,35.8,0.0,0.0,0.205,2.54,0.131,18700.0,0.78,2.998,3.3,0,0.1207166666666666,-0.7026246899055228,-0.2264510893327172,-0.3385199867013249,13.499430382731967,10.981914140544825,9.83633227734872,0.04470456385032066,0.00940363671256537,0.04875406283856988,SALARIED,1,0,0,5,AUTO_LOAN,1,LOW_RISK,1,BACHELOR,3,SINGLE,0,RENTED,0,MALE,1
APP000019,2025-10-03,Male,28.0,High School,Married,1.0,Rented,1.0,Ahmedabad,Business Owner,IT/Software,794000.0,24.0,1.0,Home Loan,2181000.0,360.0,9.09,736.0,1.0,1.0,121.0,2.0,90.0,4.0,4.0,402600.0,64.6,0.0,1.0,61000.0,0.05,54000.0,66.0,34.0,0.0,92.3,29.0,15.8,0.0,0.0,0.507,2.747,0.396,17700.0,0.267,0.925,10.1,0,0.1717052896725441,1.008879246320269,-0.38930909033040206,1.513247805687443,14.595294503688933,12.905701276039686,9.781376414141157,0.1351098935309134,0.06438612483807514,0.04604550379198266,BUSINESS_OWNER,0,0,1,4,HOME_LOAN,1,LOW_RISK,1,HIGH_SCHOOL,2,MARRIED,1,RENTED,0,MALE,1
APP000020,2025-07-06,Male,39.0,Master,Married,3.0,Owned,4.0,Delhi,Salaried,IT/Software,297000.0,9.0,9.0,Home Loan,1425000.0,360.0,9.26,601.0,4.0,2.0,76.0,1.0,30.0,2.0,4.0,473600.0,46.8,0.0,0.0,65000.0,0.157,17000.0,67.4,32.6,0.0,82.2,35.0,19.7,0.0,0.0,1.595,4.798,0.513,11700.0,0.474,2.618,6.3,0,0.1414166666666666,-0.6688672158182292,-0.33008799905851666,-0.5629766888090543,14.169683073439028,13.06812047403619,9.367429587218957,0.08803934997820809,0.07574085624270338,0.029794149512459372,SALARIED,1,0,0,5,HOME_LOAN,1,LOW_RISK,1,MASTER,4,MARRIED,1,OWNED,1,MALE,1
APP000021,2025-06-10,Female,48.0,Bachelor,Single,2.0,Rented,6.0,Delhi,Business Owner,Other,190000.0,0.0,0.0,Personal Loan,413000.0,24.0,15.71,750.0,3.0,3.0,143.0,1.0,30.0,1.0,2.0,18300.0,68.0,0.0,0.0,46000.0,0.226,12000.0,34.9,65.1,1.0,78.7,30.0,15.4,0.0,2.0,0.096,2.174,0.346,20200.0,1.274,2.893,11.9,1,0.2341666666666666,-1.030072188552272,-0.6113881825999723,-0.8435475664437161,12.931205293247745,9.814710982145282,9.913487387114461,0.025029574746279808,0.0029266420380943243,0.0528169014084507,BUSINESS_OWNER,0,0,1,4,PERSONAL_LOAN,0,MEDIUM_RISK,2,BACHELOR,3,SINGLE,0,RENTED,0,FEMALE,0
APP000022,2025-02-21,Male,46.0,Bachelor,Married,3.0,Rented,1.0,Pune,Salaried,IT/Software,481000.0,13.0,0.0,Auto Loan,1195000.0,72.0,10.28,720.0,2.0,1.0,59.0,1.0,60.0,3.0,5.0,467500.0,12.5,1.0,0.0,61000.0,0.164,17000.0,66.8,33.2,3.0,73.4,19.0,12.3,2.0,1.0,0.972,2.484,0.216,22300.0,0.557,1.512,4.9,0,0.4555266805266805,-0.047729692612024595,-0.38930909033040206,-0.5629766888090543,13.993657580167481,13.055156766746023,10.012386799492118,0.07371894651640622,0.07476530889667195,0.05850487540628385,SALARIED,1,0,0,5,AUTO_LOAN,1,LOW_RISK,1,BACHELOR,3,MARRIED,1,RENTED,0,MALE,1
APP000023,2025-08-15,Male,22.0,PhD,Single,4.0,Living with Parents,6.0,Pune,Business Owner,Government,100000.0,7.0,1.0,Personal Loan,241000.0,24.0,14.01,757.0,4.0,2.0,4.0,0.0,0.0,4.0,5.0,763100.0,89.1,0.0,1.0,6000.0,0.203,6000.0,34.4,65.6,0.0,78.1,26.0,28.5,0.0,1.0,7.631,2.41,0.563,11600.0,1.389,0.72,0.3,0,0.14575,-1.3338894553379155,-1.2035990953188263,-1.1802326196053103,12.392556361841777,13.545145673721107,9.358846580275406,0.014320403461801882,0.12203937373058901,0.02952329360780065,BUSINESS_OWNER,0,0,1,4,PERSONAL_LOAN,0,MEDIUM_RISK,2,PHD,5,SINGLE,0,WITH_PARENTS,0,MALE,1
APP000024,2025-09-05,Male,47.0,Bachelor,Single,0.0,Rented,4.0,Other,Salaried,Real Estate,170000.0,0.0,0.0,Home Loan,847000.0,180.0,9.31,766.0,4.0,0.0,43.0,1.0,60.0,3.0,5.0,346200.0,44.7,0.0,0.0,15000.0,0.275,12000.0,51.4,48.6,0.0,99.5,34.0,27.9,3.0,0.0,1.668,4.982,0.248,8700.0,0.618,1.052,3.6,1,0.2768333333333333,-1.0975871367268595,-1.070351639957084,-0.8435475664437161,13.649457154271039,12.754774810223829,9.071193240566025,0.05205155345246249,0.05536631003214509,0.021668472372697724,SALARIED,1,0,0,5,HOME_LOAN,1,LOW_RISK,1,BACHELOR,3,SINGLE,0,RENTED,0,MALE,1
APP000025,2025-06-11,Male,31.0,Bachelor,Married,1.0,Rented,1.0,Bangalore,Salaried,Other,513000.0,2.0,1.0,Auto Loan,1925000.0,60.0,11.49,598.0,3.0,0.0,31.0,2.0,60.0,2.0,4.0,42800.0,18.6,0.0,0.0,39000.0,0.138,36000.0,51.5,48.5,0.0,71.6,26.0,35.9,1.0,0.0,0.083,3.752,0.69,42300.0,0.99,0.91,2.6,0,0.1288333333333333,0.060294224467315326,-0.7150250923257717,0.5031926462026605,14.470437045184406,10.664316745782925,10.652566005416872,0.11917066185169045,0.006844824001663229,0.11267605633802816,SALARIED,1,0,0,5,AUTO_LOAN,1,LOW_RISK,1,BACHELOR,3,MARRIED,1,RENTED,0,MALE,1
APP000026,2025-07-30,Female,41.0,Bachelor,Married,1.0,Rented,0.0,Delhi,Salaried,Manufacturing,172000.0,9.0,2.0,Business Loan,1355000.0,60.0,11.18,716.0,5.0,2.0,1.0,0.0,0.0,1.0,3.0,550200.0,74.4,0.0,0.0,28000.0,0.841,9000.0,49.8,50.2,0.0,76.6,26.0,11.3,0.0,0.0,3.199,7.878,0.309,29600.0,2.064,1.988,0.1,0,0.06305,-1.0908356419094007,-0.8778830933234565,-1.0118900930245132,14.119312750303045,13.21803894499186,10.295563423525277,0.08368096631592056,0.08799117209614739,0.07827735644637053,SALARIED,1,0,0,5,BUSINESS_LOAN,0,MEDIUM_RISK,2,BACHELOR,3,MARRIED,1,RENTED,0,FEMALE,0
APP000027,2025-07-29,Male,25.0,Bachelor,Single,2.0,Living with Parents,1.0,Chennai,Salaried,Retail,309000.0,12.0,8.0,Auto Loan,915000.0,36.0,10.33,674.0,1.0,1.0,10.0,1.0,30.0,3.0,5.0,338900.0,1.2,0.0,0.0,80000.0,0.178,23000.0,35.4,64.6,3.0,91.4,28.0,18.6,1.0,1.0,1.097,2.961,0.839,29700.0,1.152,3.122,0.8,0,0.2628430420711973,-0.6283582469134766,-0.10800890678894642,-0.22629163564746016,13.726680437153236,12.733463308313716,10.298935994257638,0.05628541186725609,0.05419885173279598,0.07854821235102925,SALARIED,1,0,0,5,AUTO_LOAN,1,LOW_RISK,1,BACHELOR,3,SINGLE,0,WITH_PARENTS,0,MALE,1
APP000028,2025-11-07,Male,36.0,Master,Married,1.0,Rented,4.0,Bangalore,Self-Employed,Healthcare,678000.0,8.0,0.0,Home Loan,4899000.0,240.0,8.53,828.0,4.0,3.0,78.0,0.0,0.0,2.0,4.0,1139200.0,3.1,0.0,1.0,187000.0,0.225,27000.0,69.2,30.8,0.0,99.3,24.0,30.4,2.0,0.0,1.68,7.226,0.715,42600.0,0.754,3.317,6.5,0,0.198,0.6172925469076618,1.4761552847339878,-0.0018349335397307288,15.404541864743981,13.945837697448452,10.659633006160352,0.3043397048751635,0.18218746501623248,0.11348862405200433,SELF_EMPLOYED,0,1,0,3,HOME_LOAN,1,LOW_RISK,1,MASTER,4,MARRIED,1,RENTED,0,MALE,1
APP000029,2025-09-10,Male,38.0,Bachelor,Single,1.0,Rented,4.0,Other,Salaried,Other,476000.0,3.0,3.0,Home Loan,2947000.0,120.0,9.15,668.0,4.0,2.0,45.0,1.0,30.0,2.0,3.0,56500.0,87.4,0.0,0.0,113000.0,0.083,22000.0,60.3,39.7,0.0,83.4,30.0,9.6,0.0,0.0,0.119,6.191,0.812,37600.0,0.947,2.856,3.8,0,0.0246666666666666,-0.06460842965567146,0.38056509620410806,-0.2824058111743925,14.896298601047905,10.942013616092948,10.534785924769006,0.18280306332108837,0.009035807385373186,0.09994582881906824,SALARIED,1,0,0,5,HOME_LOAN,1,LOW_RISK,1,BACHELOR,3,SINGLE,0,RENTED,0,MALE,1
APP000030,2025-09-26,Male,21.0,High School,Married,4.0,Living with Parents,3.0,Other,Salaried,Education,477000.0,33.0,0.0,Auto Loan,1151000.0,48.0,9.3,614.0,7.0,2.0,26.0,0.0,0.0,0.0,1.0,129400.0,93.3,1.0,0.0,56000.0,0.272,25000.0,34.3,65.7,1.0,94.9,37.0,37.5,2.0,0.0,0.271,2.413,0.493,28800.0,0.725,1.396,2.2,1,0.2215,-0.06123268224694209,-0.4633354544202588,-0.11406328459359545,13.956142556513372,11.770671388994348,10.268165387743457,0.07097939107153976,0.020694397799421067,0.07611050920910076,SALARIED,1,0,0,5,AUTO_LOAN,1,LOW_RISK,1,HIGH_SCHOOL,2,MARRIED,1,WITH_PARENTS,0,MALE,1
APP000031,2025-04-19,Female,41.0,High School,Married,0.0,Living with Parents,1.0,Chennai,Salaried,Education,502000.0,0.0,0.0,Home Loan,76000.0,12.0,16.12,735.0,0.0,0.0,156.0,0.0,0.0,6.0,10.0,752800.0,71.4,0.0,0.0,138000.0,0.29,21000.0,60.0,40.0,0.0,81.8,30.0,19.4,1.0,1.0,1.5,0.151,0.168,6900.0,0.165,3.306,13.0,1,0.27125,0.023161002971292224,0.7506969166533918,-0.3385199867013249,11.23850177707664,13.531556195626495,8.839421607620602,0.004047070543552705,0.12039213804794575,0.016793066088840736,SALARIED,1,0,0,5,HOME_LOAN,1,LOW_RISK,1,HIGH_SCHOOL,2,MARRIED,1,WITH_PARENTS,0,FEMALE,0
APP000032,2025-12-19,Male,48.0,Bachelor,Divorced,4.0,Owned,2.0,Bangalore,Self-Employed,Healthcare,281000.0,0.0,0.0,Home Loan,828000.0,360.0,8.22,857.0,2.0,2.0,11.0,0.0,0.0,1.0,2.0,346200.0,90.9,0.0,0.0,82000.0,0.113,13000.0,51.8,48.2,0.0,77.1,25.0,27.6,1.0,0.0,0.462,2.947,0.441,6200.0,0.265,3.489,0.9,0,0.0469421708185053,-0.7228791743578991,-0.07839836115300372,-0.7874333909167838,13.626769641096136,12.754774810223829,8.732465848349879,0.05086856360127016,0.05536631003214509,0.014897074756229685,SELF_EMPLOYED,0,1,0,3,HOME_LOAN,1,LOW_RISK,1,BACHELOR,3,DIVORCED,0,OWNED,1,MALE,1
APP000033,2025-03-30,Male,35.0,Bachelor,Married,1.0,Rented,0.0,Chennai,Freelancer,Banking/Finance,452000.0,3.0,3.0,Auto Loan,1615000.0,36.0,9.82,699.0,4.0,4.0,13.0,0.0,0.0,4.0,8.0,211200.0,74.4,0.0,0.0,88000.0,0.188,31000.0,62.4,37.6,0.0,72.9,22.0,14.8,1.0,0.0,0.467,3.573,0.795,52000.0,1.38,2.326,1.1,0,0.02,-0.1456263674651764,0.010433275754824367,0.2226217685679987,14.29484613383375,12.260565565651518,10.859018228147887,0.09986924849013139,0.033776327783908267,0.13894907908992413,FREELANCER,0,0,0,2,AUTO_LOAN,1,LOW_RISK,1,BACHELOR,3,MARRIED,1,RENTED,0,MALE,1
APP000034,2025-04-03,Female,48.0,Bachelor,Single,1.0,Living with Parents,5.0,Kolkata,Salaried,Manufacturing,329000.0,7.0,2.0,Personal Loan,828000.0,36.0,13.36,756.0,3.0,2.0,28.0,0.0,0.0,2.0,4.0,529700.0,1.5,0.0,1.0,52000.0,0.067,16000.0,65.2,34.8,0.0,95.6,31.0,27.5,1.0,0.0,1.61,2.517,0.769,28000.0,1.023,1.878,2.3,0,0.096,-0.5608432987388893,-0.5225565456921442,-0.6190908643359867,13.626769641096136,13.18006797539189,10.239995502805316,0.05086856360127016,0.08471269331030402,0.07394366197183098,SALARIED,1,0,0,5,PERSONAL_LOAN,0,MEDIUM_RISK,2,BACHELOR,3,SINGLE,0,WITH_PARENTS,0,FEMALE,0
